benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,fit_flops,predict_flops,ok
Park-Fav,NARGP,42,1.0,22,234,256,256,4,4493252696,61975160,1
Park-Fav,NARGP,43,0.1,2,23,25,256,4,2056252,3562552,1
Park-Fav,NARGP,43,0.3,7,70,77,256,4,169427300,12666542,1
Park-Fav,NARGP,43,0.5,11,117,128,256,4,510898692,23915166,1
Park-Fav,NARGP,43,0.7,15,164,179,256,4,2462725152,37442638,1
Park-Fav,NARGP,43,1.0,22,234,256,256,4,3357625456,61975160,1
Park-Fav,DKL Multi-Fidelity,42,0.1,2,23,25,256,4,448262000,9765616,1
Park-Fav,DKL Multi-Fidelity,42,0.3,7,70,77,256,4,2017258000,19216304,1
Park-Fav,DKL Multi-Fidelity,42,0.5,11,117,128,256,4,5063692000,28905488,1
Park-Fav,DKL Multi-Fidelity,42,0.7,15,164,179,256,4,10404208000,39010832,1
Park-Fav,DKL Multi-Fidelity,42,1.0,22,234,256,256,4,24578060000,55056400,1
Park-Fav,DKL Multi-Fidelity,43,0.1,2,23,25,256,4,448262000,9765616,1
Park-Fav,DKL Multi-Fidelity,43,0.3,7,70,77,256,4,2017258000,19216304,1
Park-Fav,DKL Multi-Fidelity,43,0.5,11,117,128,256,4,5063692000,28905488,1
Park-Fav,DKL Multi-Fidelity,43,0.7,15,164,179,256,4,10404208000,39010832,1
Park-Fav,DKL Multi-Fidelity,43,1.0,22,234,256,256,4,24578060000,55056400,1
Park-Fav,Sparse MFGP,42,0.1,2,23,25,256,4,239787000,1918432,1
Park-Fav,Sparse MFGP,42,0.3,7,70,77,256,4,5971747000,7887616,1
Park-Fav,Sparse MFGP,42,0.5,11,117,128,256,4,16159916000,12321832,1
Park-Fav,Sparse MFGP,42,0.7,15,164,179,256,4,22302764000,12321832,1
Park-Fav,Sparse MFGP,42,1.0,22,234,256,256,4,31774380000,12321832,1
Park-Fav,Sparse MFGP,43,0.1,2,23,25,256,4,239787000,1918432,1
Park-Fav,Sparse MFGP,43,0.3,7,70,77,256,4,5971747000,7887616,1
Park-Fav,Sparse MFGP,43,0.5,11,117,128,256,4,16159916000,12321832,1
Park-Fav,Sparse MFGP,43,0.7,15,164,179,256,4,22302764000,12321832,1
Park-Fav,Sparse MFGP,43,1.0,22,234,256,256,4,31774380000,12321832,1
Park-Fav,Sequential,42,0.1,2,23,25,256,4,126740992,4554752,1
Park-Fav,Sequential,42,0.3,7,70,77,256,4,388935680,4554752,1
Park-Fav,Sequential,42,0.5,11,117,128,256,4,647623168,4554752,1
Park-Fav,Sequential,42,0.7,15,164,179,256,4,906310656,4554752,1
Park-Fav,Sequential,42,1.0,22,234,256,256,4,1295246336,4554752,1
Park-Fav,Sequential,43,0.1,2,23,25,256,4,126740992,4554752,1
Park-Fav,Sequential,43,0.3,7,70,77,256,4,388935680,4554752,1
Park-Fav,Sequential,43,0.5,11,117,128,256,4,647623168,4554752,1
Park-Fav,Sequential,43,0.7,15,164,179,256,4,906310656,4554752,1
Park-Fav,Sequential,43,1.0,22,234,256,256,4,1295246336,4554752,1
Park-Fav,Progressive,42,0.1,2,23,25,256,4,64379392,4554752,1
Park-Fav,Progressive,42,0.3,7,70,77,256,4,197953280,4554752,1
Park-Fav,Progressive,42,0.5,11,117,128,256,4,329319168,4554752,1
Park-Fav,Progressive,42,0.7,15,164,179,256,4,460685056,4554752,1
Park-Fav,Progressive,42,1.0,22,234,256,256,4,658638336,4554752,1
Park-Fav,Progressive,43,0.1,2,23,25,256,4,64379392,4554752,1
Park-Fav,Progressive,43,0.3,7,70,77,256,4,197953280,4554752,1
Park-Fav,Progressive,43,0.5,11,117,128,256,4,329319168,4554752,1
Park-Fav,Progressive,43,0.7,15,164,179,256,4,460685056,4554752,1
Park-Fav,Progressive,43,1.0,22,234,256,256,4,658638336,4554752,1
Park-Fav,Curriculum,42,0.1,2,23,25,256,4,133773056,4554752,1
Park-Fav,Curriculum,42,0.3,7,70,77,256,4,388611712,4554752,1
Park-Fav,Curriculum,42,0.5,11,117,128,256,4,646317440,4554752,1
Park-Fav,Curriculum,42,0.7,15,164,179,256,4,904654464,4554752,1
Park-Fav,Curriculum,42,1.0,22,234,256,256,4,1293301248,4554752,1
Park-Fav,Curriculum,43,0.1,2,23,25,256,4,133773056,4554752,1
Park-Fav,Curriculum,43,0.3,7,70,77,256,4,388611712,4554752,1
Park-Fav,Curriculum,43,0.5,11,117,128,256,4,646317440,4554752,1
Park-Fav,Curriculum,43,0.7,15,164,179,256,4,904654464,4554752,1
Park-Fav,Curriculum,43,1.0,22,234,256,256,4,1293301248,4554752,1
Park-Fav,Two-Stage Joint,42,0.1,2,23,25,256,4,130499584,4554752,1
Park-Fav,Two-Stage Joint,42,0.3,7,70,77,256,4,401999360,4554752,1
Park-Fav,Two-Stage Joint,42,0.5,11,117,128,256,4,668212736,4554752,1
Park-Fav,Two-Stage Joint,42,0.7,15,164,179,256,4,934426112,4554752,1
Park-Fav,Two-Stage Joint,42,1.0,22,234,256,256,4,1336425472,4554752,1
Park-Fav,Two-Stage Joint,43,0.1,2,23,25,256,4,130499584,4554752,1
Park-Fav,Two-Stage Joint,43,0.3,7,70,77,256,4,401999360,4554752,1
Park-Fav,Two-Stage Joint,43,0.5,11,117,128,256,4,668212736,4554752,1
Park-Fav,Two-Stage Joint,43,0.7,15,164,179,256,4,934426112,4554752,1
Park-Fav,Two-Stage Joint,43,1.0,22,234,256,256,4,1336425472,4554752,1
Park-Fav,DNGO-Joint,42,0.1,2,23,25,256,4,200532992,4554752,1
Park-Fav,DNGO-Joint,42,0.3,7,70,77,256,4,619924480,4554752,1
Park-Fav,DNGO-Joint,42,0.5,11,117,128,256,4,1028794368,4554752,1
Park-Fav,DNGO-Joint,42,0.7,15,164,179,256,4,1437664256,4554752,1
Park-Fav,DNGO-Joint,42,1.0,22,234,256,256,4,2057588736,4554752,1
Park-Fav,DNGO-Joint,43,0.1,2,23,25,256,4,200532992,4554752,1
Park-Fav,DNGO-Joint,43,0.3,7,70,77,256,4,619924480,4554752,1
Park-Fav,DNGO-Joint,43,0.5,11,117,128,256,4,1028794368,4554752,1
Park-Fav,DNGO-Joint,43,0.7,15,164,179,256,4,1437664256,4554752,1
Park-Fav,DNGO-Joint,43,1.0,22,234,256,256,4,2057588736,4554752,1
Park-Fav,DNGO-Gradient,42,0.1,2,23,25,256,4,211208192,4554752,1
Park-Fav,DNGO-Gradient,42,0.3,7,70,77,256,4,657287680,4554752,1
Park-Fav,DNGO-Gradient,42,0.5,11,117,128,256,4,1087507968,4554752,1
Park-Fav,DNGO-Gradient,42,0.7,15,164,179,256,4,1517728256,4554752,1
Park-Fav,DNGO-Gradient,42,1.0,22,234,256,256,4,2175015936,4554752,1
Park-Fav,DNGO-Gradient,43,0.1,2,23,25,256,4,211208192,4554752,1
Park-Fav,DNGO-Gradient,43,0.3,7,70,77,256,4,657287680,4554752,1
Park-Fav,DNGO-Gradient,43,0.5,11,117,128,256,4,1087507968,4554752,1
Park-Fav,DNGO-Gradient,43,0.7,15,164,179,256,4,1517728256,4554752,1
Park-Fav,DNGO-Gradient,43,1.0,22,234,256,256,4,2175015936,4554752,1
Park-Fav,Knowledge Distillation,42,0.1,2,23,25,256,4,126740992,4554752,1
Park-Fav,Knowledge Distillation,42,0.3,7,70,77,256,4,388935680,4554752,1
Park-Fav,Knowledge Distillation,42,0.5,11,117,128,256,4,647623168,4554752,1
Park-Fav,Knowledge Distillation,42,0.7,15,164,179,256,4,906310656,4554752,1
Park-Fav,Knowledge Distillation,42,1.0,22,234,256,256,4,1295246336,4554752,1
Park-Fav,Knowledge Distillation,43,0.1,2,23,25,256,4,126740992,4554752,1
Park-Fav,Knowledge Distillation,43,0.3,7,70,77,256,4,388935680,4554752,1
Park-Fav,Knowledge Distillation,43,0.5,11,117,128,256,4,647623168,4554752,1
Park-Fav,Knowledge Distillation,43,0.7,15,164,179,256,4,906310656,4554752,1
Park-Fav,Knowledge Distillation,43,1.0,22,234,256,256,4,1295246336,4554752,1
Park-Fav,Domain Adaptation (MMD),42,0.1,2,23,25,256,4,190992384,4554752,1
Park-Fav,Domain Adaptation (MMD),42,0.3,7,70,77,256,4,586844160,4554752,1
Park-Fav,Domain Adaptation (MMD),42,0.5,11,117,128,256,4,976603136,4554752,1
Park-Fav,Domain Adaptation (MMD),42,0.7,15,164,179,256,4,1366362112,4554752,1
Park-Fav,Domain Adaptation (MMD),42,1.0,22,234,256,256,4,1953206272,4554752,1
Park-Fav,Domain Adaptation (MMD),43,0.1,2,23,25,256,4,190992384,4554752,1
Park-Fav,Domain Adaptation (MMD),43,0.3,7,70,77,256,4,586844160,4554752,1
Park-Fav,Domain Adaptation (MMD),43,0.5,11,117,128,256,4,976603136,4554752,1
Park-Fav,Domain Adaptation (MMD),43,0.7,15,164,179,256,4,1366362112,4554752,1
Park-Fav,Domain Adaptation (MMD),43,1.0,22,234,256,256,4,1953206272,4554752,1
Park-Fav,Soft Parameter Sharing,42,0.1,2,23,25,256,4,140872192,4554752,1
Park-Fav,Soft Parameter Sharing,42,0.3,7,70,77,256,4,438394880,4554752,1
Park-Fav,Soft Parameter Sharing,42,0.5,11,117,128,256,4,725344768,4554752,1
Park-Fav,Soft Parameter Sharing,42,0.7,15,164,179,256,4,1012294656,4554752,1
Park-Fav,Soft Parameter Sharing,42,1.0,22,234,256,256,4,1450689536,4554752,1
Park-Fav,Soft Parameter Sharing,43,0.1,2,23,25,256,4,140872192,4554752,1
Park-Fav,Soft Parameter Sharing,43,0.3,7,70,77,256,4,438394880,4554752,1
Park-Fav,Soft Parameter Sharing,43,0.5,11,117,128,256,4,725344768,4554752,1
Park-Fav,Soft Parameter Sharing,43,0.7,15,164,179,256,4,1012294656,4554752,1
Park-Fav,Soft Parameter Sharing,43,1.0,22,234,256,256,4,1450689536,4554752,1
Park-Fav,Pseudo-Labeling,42,0.1,2,23,25,256,4,207627392,4554752,1
Park-Fav,Pseudo-Labeling,42,0.3,7,70,77,256,4,635119744,4554752,1
Park-Fav,Pseudo-Labeling,42,0.5,11,117,128,256,4,1059096064,4554752,1
Park-Fav,Pseudo-Labeling,42,0.7,15,164,179,256,4,1483072384,4554752,1
Park-Fav,Pseudo-Labeling,42,1.0,22,234,256,256,4,2118192128,4554752,1
Park-Fav,Pseudo-Labeling,43,0.1,2,23,25,256,4,207627392,4554752,1
Park-Fav,Pseudo-Labeling,43,0.3,7,70,77,256,4,635119744,4554752,1
Park-Fav,Pseudo-Labeling,43,0.5,11,117,128,256,4,1059096064,4554752,1
Park-Fav,Pseudo-Labeling,43,0.7,15,164,179,256,4,1483072384,4554752,1
Park-Fav,Pseudo-Labeling,43,1.0,22,234,256,256,4,2118192128,4554752,1
Park-Fav,Adapter,42,0.1,2,23,25,256,4,127688192,4358144,1
Park-Fav,Adapter,42,0.3,7,70,77,256,4,392250880,4358144,1
Park-Fav,Adapter,42,0.5,11,117,128,256,4,652832768,4358144,1
Park-Fav,Adapter,42,0.7,15,164,179,256,4,913414656,4358144,1
Park-Fav,Adapter,42,1.0,22,234,256,256,4,1305665536,4358144,1
Park-Fav,Adapter,43,0.1,2,23,25,256,4,127688192,4358144,1
Park-Fav,Adapter,43,0.3,7,70,77,256,4,392250880,4358144,1
Park-Fav,Adapter,43,0.5,11,117,128,256,4,652832768,4358144,1
Park-Fav,Adapter,43,0.7,15,164,179,256,4,913414656,4358144,1
Park-Fav,Adapter,43,1.0,22,234,256,256,4,1305665536,4358144,1
Park-Unfav,MFGP,42,0.1,2,5,7,256,4,90552,947352,1
Park-Unfav,MFGP,42,0.3,7,16,23,256,4,4951440,3309976,1
Park-Unfav,MFGP,42,0.5,12,26,38,256,4,64763400,5774176,1
Park-Unfav,MFGP,42,0.7,17,36,53,256,4,82416060,8479576,1
Park-Unfav,MFGP,42,1.0,24,52,76,256,4,208860160,13096320,1
Park-Unfav,MFGP,43,0.1,2,5,7,256,4,86240,947352,1
Park-Unfav,MFGP,43,0.3,7,16,23,256,4,1650480,3309976,1
Park-Unfav,MFGP,43,0.5,12,26,38,256,4,46785600,5774176,1
Park-Unfav,MFGP,43,0.7,17,36,53,256,4,66236220,8479576,1
Park-Unfav,MFGP,43,1.0,24,52,76,256,4,279350464,13096320,1
Park-Unfav,NARGP,42,0.1,2,5,7,256,4,31564,935992,1
Park-Unfav,NARGP,42,0.3,7,16,23,256,4,1578226,3183278,1
Park-Unfav,NARGP,42,0.5,12,26,38,256,4,4822104,5422048,1
Park-Unfav,NARGP,42,0.7,17,36,53,256,4,17940042,7789518,1
Park-Unfav,NARGP,42,1.0,24,52,76,256,4,70981632,11687808,1
Park-Unfav,NARGP,43,0.1,2,5,7,256,4,30028,935992,1
Park-Unfav,NARGP,43,0.3,7,16,23,256,4,760458,3183278,1
Park-Unfav,NARGP,43,0.5,12,26,38,256,4,6517920,5422048,1
Park-Unfav,NARGP,43,0.7,17,36,53,256,4,17947968,7789518,1
Park-Unfav,NARGP,43,1.0,24,52,76,256,4,64229184,11687808,1
Park-Unfav,DKL Multi-Fidelity,42,0.1,2,5,7,256,4,114308000,6595024,1
Park-Unfav,DKL Multi-Fidelity,42,0.3,7,16,23,256,4,407572000,9410768,1
Park-Unfav,DKL Multi-Fidelity,42,0.5,12,26,38,256,4,740632000,12087728,1
Park-Unfav,DKL Multi-Fidelity,42,0.7,17,36,53,256,4,1150642000,14800688,1
Park-Unfav,DKL Multi-Fidelity,42,1.0,24,52,76,256,4,1975100000,19030480,1
Park-Unfav,DKL Multi-Fidelity,43,0.1,2,5,7,256,4,114308000,6595024,1
Park-Unfav,DKL Multi-Fidelity,43,0.3,7,16,23,256,4,407572000,9410768,1
Park-Unfav,DKL Multi-Fidelity,43,0.5,12,26,38,256,4,740632000,12087728,1
Park-Unfav,DKL Multi-Fidelity,43,0.7,17,36,53,256,4,1150642000,14800688,1
Park-Unfav,DKL Multi-Fidelity,43,1.0,24,52,76,256,4,1975100000,19030480,1
Park-Unfav,Sparse MFGP,42,0.1,2,5,7,256,4,8307000,1162576,1
Park-Unfav,Sparse MFGP,42,0.3,7,16,23,256,4,190291000,1801168,1
Park-Unfav,Sparse MFGP,42,0.5,12,26,38,256,4,778936000,2883448,1
Park-Unfav,Sparse MFGP,42,0.7,17,36,53,256,4,2020531000,4433728,1
Park-Unfav,Sparse MFGP,42,1.0,24,52,76,256,4,5748348000,7719784,1
Park-Unfav,Sparse MFGP,43,0.1,2,5,7,256,4,8307000,1162576,1
Park-Unfav,Sparse MFGP,43,0.3,7,16,23,256,4,190291000,1801168,1
Park-Unfav,Sparse MFGP,43,0.5,12,26,38,256,4,778936000,2883448,1
Park-Unfav,Sparse MFGP,43,0.7,17,36,53,256,4,2020531000,4433728,1
Park-Unfav,Sparse MFGP,43,1.0,24,52,76,256,4,5748348000,7719784,1
Park-Unfav,Sequential,42,0.1,2,5,7,256,4,33041920,4554752,1
Park-Unfav,Sequential,42,0.3,7,16,23,256,4,107838464,4554752,1
Park-Unfav,Sequential,42,0.5,12,26,38,256,4,177429504,4554752,1
Park-Unfav,Sequential,42,0.7,17,36,53,256,4,247020544,4554752,1
Park-Unfav,Sequential,42,1.0,24,52,76,256,4,354859008,4554752,1
Park-Unfav,Sequential,43,0.1,2,5,7,256,4,33041920,4554752,1
Park-Unfav,Sequential,43,0.3,7,16,23,256,4,107838464,4554752,1
Park-Unfav,Sequential,43,0.5,12,26,38,256,4,177429504,4554752,1
Park-Unfav,Sequential,43,0.7,17,36,53,256,4,247020544,4554752,1
Park-Unfav,Sequential,43,1.0,24,52,76,256,4,354859008,4554752,1
Park-Unfav,Progressive,42,0.1,2,5,7,256,4,17451520,4554752,1
Park-Unfav,Progressive,42,0.3,7,16,23,256,4,57169664,4554752,1
Park-Unfav,Progressive,42,0.5,12,26,38,256,4,94280704,4554752,1
Park-Unfav,Progressive,42,0.7,17,36,53,256,4,131391744,4554752,1
Park-Unfav,Progressive,42,1.0,24,52,76,256,4,188561408,4554752,1
Park-Unfav,Progressive,43,0.1,2,5,7,256,4,17451520,4554752,1
Park-Unfav,Progressive,43,0.3,7,16,23,256,4,57169664,4554752,1
Park-Unfav,Progressive,43,0.5,12,26,38,256,4,94280704,4554752,1
Park-Unfav,Progressive,43,0.7,17,36,53,256,4,131391744,4554752,1
Park-Unfav,Progressive,43,1.0,24,52,76,256,4,188561408,4554752,1
Park-Unfav,Curriculum,42,0.1,2,5,7,256,4,40073984,4554752,1
Park-Unfav,Curriculum,42,0.3,7,16,23,256,4,107514496,4554752,1
Park-Unfav,Curriculum,42,0.5,12,26,38,256,4,176027392,4554752,1
Park-Unfav,Curriculum,42,0.7,17,36,53,256,4,245171584,4554752,1
Park-Unfav,Curriculum,42,1.0,24,52,76,256,4,352966656,4554752,1
Park-Unfav,Curriculum,43,0.1,2,5,7,256,4,40073984,4554752,1
Park-Unfav,Curriculum,43,0.3,7,16,23,256,4,107514496,4554752,1
Park-Unfav,Curriculum,43,0.5,12,26,38,256,4,176027392,4554752,1
Park-Unfav,Curriculum,43,0.7,17,36,53,256,4,245171584,4554752,1
Park-Unfav,Curriculum,43,1.0,24,52,76,256,4,352966656,4554752,1
Park-Unfav,Two-Stage Joint,42,0.1,2,5,7,256,4,36643840,4554752,1
Park-Unfav,Two-Stage Joint,42,0.3,7,16,23,256,4,120432128,4554752,1
Park-Unfav,Two-Stage Joint,42,0.5,12,26,38,256,4,199006208,4554752,1
Park-Unfav,Two-Stage Joint,42,0.7,17,36,53,256,4,277580288,4554752,1
Park-Unfav,Two-Stage Joint,42,1.0,24,52,76,256,4,398012416,4554752,1
Park-Unfav,Two-Stage Joint,43,0.1,2,5,7,256,4,36643840,4554752,1
Park-Unfav,Two-Stage Joint,43,0.3,7,16,23,256,4,120432128,4554752,1
Park-Unfav,Two-Stage Joint,43,0.5,12,26,38,256,4,199006208,4554752,1
Park-Unfav,Two-Stage Joint,43,0.7,17,36,53,256,4,277580288,4554752,1
Park-Unfav,Two-Stage Joint,43,1.0,24,52,76,256,4,398012416,4554752,1
Park-Unfav,DNGO-Joint,42,0.1,2,5,7,256,4,60062720,4554752,1
Park-Unfav,DNGO-Joint,42,0.3,7,16,23,256,4,198513664,4554752,1
Park-Unfav,DNGO-Joint,42,0.5,12,26,38,256,4,329160704,4554752,1
Park-Unfav,DNGO-Joint,42,0.7,17,36,53,256,4,459807744,4554752,1
Park-Unfav,DNGO-Joint,42,1.0,24,52,76,256,4,658321408,4554752,1
Park-Unfav,DNGO-Joint,43,0.1,2,5,7,256,4,60062720,4554752,1
Park-Unfav,DNGO-Joint,43,0.3,7,16,23,256,4,198513664,4554752,1
Park-Unfav,DNGO-Joint,43,0.5,12,26,38,256,4,329160704,4554752,1
Park-Unfav,DNGO-Joint,43,0.7,17,36,53,256,4,459807744,4554752,1
Park-Unfav,DNGO-Joint,43,1.0,24,52,76,256,4,658321408,4554752,1
Park-Unfav,DNGO-Gradient,42,0.1,2,5,7,256,4,70737920,4554752,1
Park-Unfav,DNGO-Gradient,42,0.3,7,16,23,256,4,235876864,4554752,1
Park-Unfav,DNGO-Gradient,42,0.5,12,26,38,256,4,393211904,4554752,1
Park-Unfav,DNGO-Gradient,42,0.7,17,36,53,256,4,550546944,4554752,1
Park-Unfav,DNGO-Gradient,42,1.0,24,52,76,256,4,786423808,4554752,1
Park-Unfav,DNGO-Gradient,43,0.1,2,5,7,256,4,70737920,4554752,1
Park-Unfav,DNGO-Gradient,43,0.3,7,16,23,256,4,235876864,4554752,1
Park-Unfav,DNGO-Gradient,43,0.5,12,26,38,256,4,393211904,4554752,1
Park-Unfav,DNGO-Gradient,43,0.7,17,36,53,256,4,550546944,4554752,1
Park-Unfav,DNGO-Gradient,43,1.0,24,52,76,256,4,786423808,4554752,1
Park-Unfav,Knowledge Distillation,42,0.1,2,5,7,256,4,33041920,4554752,1
Park-Unfav,Knowledge Distillation,42,0.3,7,16,23,256,4,107838464,4554752,1
Park-Unfav,Knowledge Distillation,42,0.5,12,26,38,256,4,177429504,4554752,1
Park-Unfav,Knowledge Distillation,42,0.7,17,36,53,256,4,247020544,4554752,1
Park-Unfav,Knowledge Distillation,42,1.0,24,52,76,256,4,354859008,4554752,1
Park-Unfav,Knowledge Distillation,43,0.1,2,5,7,256,4,33041920,4554752,1
Park-Unfav,Knowledge Distillation,43,0.3,7,16,23,256,4,107838464,4554752,1
Park-Unfav,Knowledge Distillation,43,0.5,12,26,38,256,4,177429504,4554752,1
Park-Unfav,Knowledge Distillation,43,0.7,17,36,53,256,4,247020544,4554752,1
Park-Unfav,Knowledge Distillation,43,1.0,24,52,76,256,4,354859008,4554752,1
Park-Unfav,Domain Adaptation (MMD),42,0.1,2,5,7,256,4,51056640,4554752,1
Park-Unfav,Domain Adaptation (MMD),42,0.3,7,16,23,256,4,167036928,4554752,1
Park-Unfav,Domain Adaptation (MMD),42,0.5,12,26,38,256,4,275243008,4554752,1
Park-Unfav,Domain Adaptation (MMD),42,0.7,17,36,53,256,4,383449088,4554752,1
Park-Unfav,Domain Adaptation (MMD),42,1.0,24,52,76,256,4,550486016,4554752,1
Park-Unfav,Domain Adaptation (MMD),43,0.1,2,5,7,256,4,51056640,4554752,1
Park-Unfav,Domain Adaptation (MMD),43,0.3,7,16,23,256,4,167036928,4554752,1
Park-Unfav,Domain Adaptation (MMD),43,0.5,12,26,38,256,4,275243008,4554752,1
Park-Unfav,Domain Adaptation (MMD),43,0.7,17,36,53,256,4,383449088,4554752,1
Park-Unfav,Domain Adaptation (MMD),43,1.0,24,52,76,256,4,550486016,4554752,1
Park-Unfav,Soft Parameter Sharing,42,0.1,2,5,7,256,4,47173120,4554752,1
Park-Unfav,Soft Parameter Sharing,42,0.3,7,16,23,256,4,157297664,4554752,1
Park-Unfav,Soft Parameter Sharing,42,0.5,12,26,38,256,4,262216704,4554752,1
Park-Unfav,Soft Parameter Sharing,42,0.7,17,36,53,256,4,367135744,4554752,1
Park-Unfav,Soft Parameter Sharing,42,1.0,24,52,76,256,4,524433408,4554752,1
Park-Unfav,Soft Parameter Sharing,43,0.1,2,5,7,256,4,47173120,4554752,1
Park-Unfav,Soft Parameter Sharing,43,0.3,7,16,23,256,4,157297664,4554752,1
Park-Unfav,Soft Parameter Sharing,43,0.5,12,26,38,256,4,262216704,4554752,1
Park-Unfav,Soft Parameter Sharing,43,0.7,17,36,53,256,4,367135744,4554752,1
Park-Unfav,Soft Parameter Sharing,43,1.0,24,52,76,256,4,524433408,4554752,1
Park-Unfav,Pseudo-Labeling,42,0.1,2,5,7,256,4,50639744,4554752,1
Park-Unfav,Pseudo-Labeling,42,0.3,7,16,23,256,4,164156800,4554752,1
Park-Unfav,Pseudo-Labeling,42,0.5,12,26,38,256,4,268952320,4554752,1
Park-Unfav,Pseudo-Labeling,42,0.7,17,36,53,256,4,373747840,4554752,1
Park-Unfav,Pseudo-Labeling,42,1.0,24,52,76,256,4,537904640,4554752,1
Park-Unfav,Pseudo-Labeling,43,0.1,2,5,7,256,4,50639744,4554752,1
Park-Unfav,Pseudo-Labeling,43,0.3,7,16,23,256,4,164156800,4554752,1
Park-Unfav,Pseudo-Labeling,43,0.5,12,26,38,256,4,268952320,4554752,1
Park-Unfav,Pseudo-Labeling,43,0.7,17,36,53,256,4,373747840,4554752,1
Park-Unfav,Pseudo-Labeling,43,1.0,24,52,76,256,4,537904640,4554752,1
Park-Unfav,Adapter,42,0.1,2,5,7,256,4,33989120,4358144,1
Park-Unfav,Adapter,42,0.3,7,16,23,256,4,111153664,4358144,1
Park-Unfav,Adapter,42,0.5,12,26,38,256,4,183112704,4358144,1
Park-Unfav,Adapter,42,0.7,17,36,53,256,4,255071744,4358144,1
Park-Unfav,Adapter,42,1.0,24,52,76,256,4,366225408,4358144,1
Park-Unfav,Adapter,43,0.1,2,5,7,256,4,33989120,4358144,1
Park-Unfav,Adapter,43,0.3,7,16,23,256,4,111153664,4358144,1
Park-Unfav,Adapter,43,0.5,12,26,38,256,4,183112704,4358144,1
Park-Unfav,Adapter,43,0.7,17,36,53,256,4,255071744,4358144,1
Park-Unfav,Adapter,43,1.0,24,52,76,256,4,366225408,4358144,1
COFs,MFGP,42,0.1,2,23,25,608,14,6557500,19313600,1
COFs,MFGP,42,0.3,4,69,73,608,14,61603240,60880832,1
COFs,MFGP,42,0.5,8,115,123,608,14,985200480,110452032,1
COFs,MFGP,42,0.7,10,161,171,608,14,2303956872,164061504,1
COFs,MFGP,42,1.0,15,230,245,608,14,9278904600,258265280,1
COFs,MFGP,43,0.1,2,23,25,608,14,5947500,19313600,1
COFs,MFGP,43,0.3,4,69,73,608,14,137701360,60880832,1
COFs,MFGP,43,0.5,8,115,123,608,14,885349080,110452032,1
COFs,MFGP,43,0.7,10,161,171,608,14,3980986704,164061504,1
COFs,MFGP,43,1.0,15,230,245,608,14,12686643900,258265280,1
COFs,NARGP,42,0.1,2,23,25,608,14,1628952,19161864,1
COFs,NARGP,42,0.3,4,69,73,608,14,21573780,59869088,1
COFs,NARGP,42,0.5,8,115,123,608,14,222009720,107248512,1
COFs,NARGP,42,0.7,10,161,171,608,14,458939752,158277960,1
COFs,NARGP,42,1.0,15,230,245,608,14,1243968650,246040930,1
COFs,NARGP,43,0.1,2,23,25,608,14,1703832,19161864,1
COFs,NARGP,43,0.3,4,69,73,608,14,27188176,59869088,1
COFs,NARGP,43,0.5,8,115,123,608,14,209019360,107248512,1
COFs,NARGP,43,0.7,10,161,171,608,14,633042072,158277960,1
COFs,NARGP,43,1.0,15,230,245,608,14,1834151750,246040930,1
COFs,DKL Multi-Fidelity,42,0.1,2,23,25,608,14,480262000,42488496,1
COFs,DKL Multi-Fidelity,42,0.3,4,69,73,608,14,1945462000,81901488,1
COFs,DKL Multi-Fidelity,42,0.5,8,115,123,608,14,4833912000,123348688,1
COFs,DKL Multi-Fidelity,42,0.7,10,161,171,608,14,9601320000,163514320,1
COFs,DKL Multi-Fidelity,42,1.0,15,230,245,608,14,22331762000,226158576,1
COFs,DKL Multi-Fidelity,43,0.1,2,23,25,608,14,480262000,42488496,1
COFs,DKL Multi-Fidelity,43,0.3,4,69,73,608,14,1945462000,81901488,1
COFs,DKL Multi-Fidelity,43,0.5,8,115,123,608,14,4833912000,123348688,1
COFs,DKL Multi-Fidelity,43,0.7,10,161,171,608,14,9601320000,163514320,1
COFs,DKL Multi-Fidelity,43,1.0,15,230,245,608,14,22331762000,226158576,1
COFs,Sparse MFGP,42,0.1,2,23,25,608,14,314787000,15980276,1
COFs,Sparse MFGP,42,0.3,4,69,73,608,14,5751171000,29749748,1
COFs,Sparse MFGP,42,0.5,8,115,123,608,14,17055146000,42492776,1
COFs,Sparse MFGP,42,0.7,10,161,171,608,14,23535530000,42492776,1
COFs,Sparse MFGP,42,1.0,15,230,245,608,14,33977522000,42492776,1
COFs,Sparse MFGP,43,0.1,2,23,25,608,14,314787000,15980276,1
COFs,Sparse MFGP,43,0.3,4,69,73,608,14,5751171000,29749748,1
COFs,Sparse MFGP,43,0.5,8,115,123,608,14,17055146000,42492776,1
COFs,Sparse MFGP,43,0.7,10,161,171,608,14,23535530000,42492776,1
COFs,Sparse MFGP,43,1.0,15,230,245,608,14,33977522000,42492776,1
COFs,Sequential,42,0.1,2,23,25,608,14,139314432,12374016,1
COFs,Sequential,42,0.3,4,69,73,608,14,410160896,12374016,1
COFs,Sequential,42,0.5,8,115,123,608,14,688789760,12374016,1
COFs,Sequential,42,0.7,10,161,171,608,14,959636224,12374016,1
COFs,Sequential,42,1.0,15,230,245,608,14,1373688320,12374016,1
COFs,Sequential,43,0.1,2,23,25,608,14,139314432,12374016,1
COFs,Sequential,43,0.3,4,69,73,608,14,410160896,12374016,1
