benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,fit_flops,predict_flops,ok
Branin-Fav,Curriculum,42,1.0,24,259,283,2500,2,1402114816,43200000,1
Branin-Fav,Curriculum,43,0.1,2,26,28,2500,2,146412800,43200000,1
Branin-Fav,Curriculum,43,0.3,7,78,85,2500,2,421717632,43200000,1
Branin-Fav,Curriculum,43,0.5,12,130,142,2500,2,703162880,43200000,1
Branin-Fav,Curriculum,43,0.7,17,181,198,2500,2,980122752,43200000,1
Branin-Fav,Curriculum,43,1.0,24,259,283,2500,2,1402114816,43200000,1
Branin-Fav,Two-Stage Joint,42,0.1,2,26,28,2500,2,143210496,43200000,1
Branin-Fav,Two-Stage Joint,42,0.3,7,78,85,2500,2,434789888,43200000,1
Branin-Fav,Two-Stage Joint,42,0.5,12,130,142,2500,2,726369280,43200000,1
Branin-Fav,Two-Stage Joint,42,0.7,17,181,198,2500,2,1012837376,43200000,1
Branin-Fav,Two-Stage Joint,42,1.0,24,259,283,2500,2,1447627264,43200000,1
Branin-Fav,Two-Stage Joint,43,0.1,2,26,28,2500,2,143210496,43200000,1
Branin-Fav,Two-Stage Joint,43,0.3,7,78,85,2500,2,434789888,43200000,1
Branin-Fav,Two-Stage Joint,43,0.5,12,130,142,2500,2,726369280,43200000,1
Branin-Fav,Two-Stage Joint,43,0.7,17,181,198,2500,2,1012837376,43200000,1
Branin-Fav,Two-Stage Joint,43,1.0,24,259,283,2500,2,1447627264,43200000,1
Branin-Fav,DNGO-Joint,42,0.1,2,26,28,2500,2,219483648,43200000,1
Branin-Fav,DNGO-Joint,42,0.3,7,78,85,2500,2,668742144,43200000,1
Branin-Fav,DNGO-Joint,42,0.5,12,130,142,2500,2,1118000640,43200000,1
Branin-Fav,DNGO-Joint,42,0.7,17,181,198,2500,2,1559609088,43200000,1
Branin-Fav,DNGO-Joint,42,1.0,24,259,283,2500,2,2228351232,43200000,1
Branin-Fav,DNGO-Joint,43,0.1,2,26,28,2500,2,219483648,43200000,1
Branin-Fav,DNGO-Joint,43,0.3,7,78,85,2500,2,668742144,43200000,1
Branin-Fav,DNGO-Joint,43,0.5,12,130,142,2500,2,1118000640,43200000,1
Branin-Fav,DNGO-Joint,43,0.7,17,181,198,2500,2,1559609088,43200000,1
Branin-Fav,DNGO-Joint,43,1.0,24,259,283,2500,2,2228351232,43200000,1
Branin-Fav,DNGO-Gradient,42,0.1,2,26,28,2500,2,229851648,43200000,1
Branin-Fav,DNGO-Gradient,42,0.3,7,78,85,2500,2,705030144,43200000,1
Branin-Fav,DNGO-Gradient,42,0.5,12,130,142,2500,2,1180208640,43200000,1
Branin-Fav,DNGO-Gradient,42,0.7,17,181,198,2500,2,1647737088,43200000,1
Branin-Fav,DNGO-Gradient,42,1.0,24,259,283,2500,2,2352767232,43200000,1
Branin-Fav,DNGO-Gradient,43,0.1,2,26,28,2500,2,229851648,43200000,1
Branin-Fav,DNGO-Gradient,43,0.3,7,78,85,2500,2,705030144,43200000,1
Branin-Fav,DNGO-Gradient,43,0.5,12,130,142,2500,2,1180208640,43200000,1
Branin-Fav,DNGO-Gradient,43,0.7,17,181,198,2500,2,1647737088,43200000,1
Branin-Fav,DNGO-Gradient,43,1.0,24,259,283,2500,2,2352767232,43200000,1
Branin-Fav,Knowledge Distillation,42,0.1,2,26,28,2500,2,139534848,43200000,1
Branin-Fav,Knowledge Distillation,42,0.3,7,78,85,2500,2,422034944,43200000,1
Branin-Fav,Knowledge Distillation,42,0.5,12,130,142,2500,2,704535040,43200000,1
Branin-Fav,Knowledge Distillation,42,0.7,17,181,198,2500,2,981932288,43200000,1
Branin-Fav,Knowledge Distillation,42,1.0,24,259,283,2500,2,1403967232,43200000,1
Branin-Fav,Knowledge Distillation,43,0.1,2,26,28,2500,2,139534848,43200000,1
Branin-Fav,Knowledge Distillation,43,0.3,7,78,85,2500,2,422034944,43200000,1
Branin-Fav,Knowledge Distillation,43,0.5,12,130,142,2500,2,704535040,43200000,1
Branin-Fav,Knowledge Distillation,43,0.7,17,181,198,2500,2,981932288,43200000,1
Branin-Fav,Knowledge Distillation,43,1.0,24,259,283,2500,2,1403967232,43200000,1
Branin-Fav,Domain Adaptation (MMD),42,0.1,2,26,28,2500,2,210052096,43200000,1
Branin-Fav,Domain Adaptation (MMD),42,0.3,7,78,85,2500,2,636121088,43200000,1
Branin-Fav,Domain Adaptation (MMD),42,0.5,12,130,142,2500,2,1062190080,43200000,1
Branin-Fav,Domain Adaptation (MMD),42,0.7,17,181,198,2500,2,1480638976,43200000,1
Branin-Fav,Domain Adaptation (MMD),42,1.0,24,259,283,2500,2,2116760064,43200000,1
Branin-Fav,Domain Adaptation (MMD),43,0.1,2,26,28,2500,2,210052096,43200000,1
Branin-Fav,Domain Adaptation (MMD),43,0.3,7,78,85,2500,2,636121088,43200000,1
Branin-Fav,Domain Adaptation (MMD),43,0.5,12,130,142,2500,2,1062190080,43200000,1
Branin-Fav,Domain Adaptation (MMD),43,0.7,17,181,198,2500,2,1480638976,43200000,1
Branin-Fav,Domain Adaptation (MMD),43,1.0,24,259,283,2500,2,2116760064,43200000,1
Branin-Fav,Soft Parameter Sharing,42,0.1,2,26,28,2500,2,153307648,43200000,1
Branin-Fav,Soft Parameter Sharing,42,0.3,7,78,85,2500,2,470239744,43200000,1
Branin-Fav,Soft Parameter Sharing,42,0.5,12,130,142,2500,2,787171840,43200000,1
Branin-Fav,Soft Parameter Sharing,42,0.7,17,181,198,2500,2,1099001088,43200000,1
Branin-Fav,Soft Parameter Sharing,42,1.0,24,259,283,2500,2,1569240832,43200000,1
Branin-Fav,Soft Parameter Sharing,43,0.1,2,26,28,2500,2,153307648,43200000,1
Branin-Fav,Soft Parameter Sharing,43,0.3,7,78,85,2500,2,470239744,43200000,1
Branin-Fav,Soft Parameter Sharing,43,0.5,12,130,142,2500,2,787171840,43200000,1
Branin-Fav,Soft Parameter Sharing,43,0.7,17,181,198,2500,2,1099001088,43200000,1
Branin-Fav,Soft Parameter Sharing,43,1.0,24,259,283,2500,2,1569240832,43200000,1
Branin-Fav,Pseudo-Labeling,42,0.1,2,26,28,2500,2,228965376,43200000,1
Branin-Fav,Pseudo-Labeling,42,0.3,7,78,85,2500,2,690335104,43200000,1
Branin-Fav,Pseudo-Labeling,42,0.5,12,130,142,2500,2,1151704832,43200000,1
Branin-Fav,Pseudo-Labeling,42,0.7,17,181,198,2500,2,1604532736,43200000,1
Branin-Fav,Pseudo-Labeling,42,1.0,24,259,283,2500,2,2294867840,43200000,1
Branin-Fav,Pseudo-Labeling,43,0.1,2,26,28,2500,2,228965376,43200000,1
Branin-Fav,Pseudo-Labeling,43,0.3,7,78,85,2500,2,690335104,43200000,1
Branin-Fav,Pseudo-Labeling,43,0.5,12,130,142,2500,2,1151704832,43200000,1
Branin-Fav,Pseudo-Labeling,43,0.7,17,181,198,2500,2,1604532736,43200000,1
Branin-Fav,Pseudo-Labeling,43,1.0,24,259,283,2500,2,2294867840,43200000,1
Branin-Fav,Adapter,42,0.1,2,26,28,2500,2,140584448,41920000,1
Branin-Fav,Adapter,42,0.3,7,78,85,2500,2,425708544,41920000,1
Branin-Fav,Adapter,42,0.5,12,130,142,2500,2,710832640,41920000,1
Branin-Fav,Adapter,42,0.7,17,181,198,2500,2,990853888,41920000,1
Branin-Fav,Adapter,42,1.0,24,259,283,2500,2,1416562432,41920000,1
Branin-Fav,Adapter,43,0.1,2,26,28,2500,2,140584448,41920000,1
Branin-Fav,Adapter,43,0.3,7,78,85,2500,2,425708544,41920000,1
Branin-Fav,Adapter,43,0.5,12,130,142,2500,2,710832640,41920000,1
Branin-Fav,Adapter,43,0.7,17,181,198,2500,2,990853888,41920000,1
Branin-Fav,Adapter,43,1.0,24,259,283,2500,2,1416562432,41920000,1
Branin-Unfav,MFGP,42,0.1,2,5,7,2500,2,191296,87780784,1
Branin-Unfav,MFGP,42,0.3,7,16,23,2500,2,9496608,290268464,1
Branin-Unfav,MFGP,42,0.5,12,26,38,2500,2,21469392,482433104,1
Branin-Unfav,MFGP,42,0.7,17,36,53,2500,2,123573528,676854944,1
Branin-Unfav,MFGP,42,1.0,24,52,76,2500,2,339524832,979352416,1
Branin-Unfav,MFGP,43,0.1,2,5,7,2500,2,43904,87780784,1
Branin-Unfav,MFGP,43,0.3,7,16,23,2500,2,9293472,290268464,1
Branin-Unfav,MFGP,43,0.5,12,26,38,2500,2,40573512,482433104,1
Branin-Unfav,MFGP,43,0.7,17,36,53,2500,2,123573528,676854944,1
Branin-Unfav,MFGP,43,1.0,24,52,76,2500,2,178513056,979352416,1
Branin-Unfav,NARGP,42,0.1,2,5,7,2500,2,56124,87680040,1
Branin-Unfav,NARGP,42,0.3,7,16,23,2500,2,762166,289140490,1
Branin-Unfav,NARGP,42,0.5,12,26,38,2500,2,4808744,479291440,1
Branin-Unfav,NARGP,42,0.7,17,36,53,2500,2,10600878,670692890,1
Branin-Unfav,NARGP,42,1.0,24,52,76,2500,2,25003264,966785760,1
Branin-Unfav,NARGP,43,0.1,2,5,7,2500,2,53496,87680040,1
Branin-Unfav,NARGP,43,0.3,7,16,23,2500,2,1125816,289140490,1
Branin-Unfav,NARGP,43,0.5,12,26,38,2500,2,4123904,479291440,1
Branin-Unfav,NARGP,43,0.7,17,36,53,2500,2,15014520,670692890,1
Branin-Unfav,NARGP,43,1.0,24,52,76,2500,2,31117344,966785760,1
Branin-Unfav,DKL Multi-Fidelity,42,0.1,2,5,7,2500,2,112516000,365345992,1
Branin-Unfav,DKL Multi-Fidelity,42,0.3,7,16,23,2500,2,401684000,569000520,1
Branin-Unfav,DKL Multi-Fidelity,42,0.5,12,26,38,2500,2,730904000,759963840,1
Branin-Unfav,DKL Multi-Fidelity,42,0.7,17,36,53,2500,2,1137074000,950963160,1
Branin-Unfav,DKL Multi-Fidelity,42,1.0,24,52,76,2500,2,1955644000,1243898704,1
Branin-Unfav,DKL Multi-Fidelity,43,0.1,2,5,7,2500,2,112516000,365345992,1
Branin-Unfav,DKL Multi-Fidelity,43,0.3,7,16,23,2500,2,401684000,569000520,1
Branin-Unfav,DKL Multi-Fidelity,43,0.5,12,26,38,2500,2,730904000,759963840,1
Branin-Unfav,DKL Multi-Fidelity,43,0.7,17,36,53,2500,2,1137074000,950963160,1
Branin-Unfav,DKL Multi-Fidelity,43,1.0,24,52,76,2500,2,1955644000,1243898704,1
Branin-Unfav,Sparse MFGP,42,0.1,2,5,7,2500,2,7131000,75965652,1
Branin-Unfav,Sparse MFGP,42,0.3,7,16,23,2500,2,177595000,81811540,1
Branin-Unfav,Sparse MFGP,42,0.5,12,26,38,2500,2,744280000,91947640,1
Branin-Unfav,Sparse MFGP,42,0.7,17,36,53,2500,2,1953115000,106589140,1
Branin-Unfav,Sparse MFGP,42,1.0,24,52,76,2500,2,5609724000,137789928,1
Branin-Unfav,Sparse MFGP,43,0.1,2,5,7,2500,2,7131000,75965652,1
Branin-Unfav,Sparse MFGP,43,0.3,7,16,23,2500,2,177595000,81811540,1
Branin-Unfav,Sparse MFGP,43,0.5,12,26,38,2500,2,744280000,91947640,1
Branin-Unfav,Sparse MFGP,43,0.7,17,36,53,2500,2,1953115000,106589140,1
Branin-Unfav,Sparse MFGP,43,1.0,24,52,76,2500,2,5609724000,137789928,1
Branin-Unfav,Sequential,42,0.1,2,5,7,2500,2,32375040,43200000,1
Branin-Unfav,Sequential,42,0.3,7,16,23,2500,2,105658368,43200000,1
Branin-Unfav,Sequential,42,0.5,12,26,38,2500,2,173838848,43200000,1
Branin-Unfav,Sequential,42,0.7,17,36,53,2500,2,242019328,43200000,1
Branin-Unfav,Sequential,42,1.0,24,52,76,2500,2,347677696,43200000,1
Branin-Unfav,Sequential,43,0.1,2,5,7,2500,2,32375040,43200000,1
Branin-Unfav,Sequential,43,0.3,7,16,23,2500,2,105658368,43200000,1
Branin-Unfav,Sequential,43,0.5,12,26,38,2500,2,173838848,43200000,1
Branin-Unfav,Sequential,43,0.7,17,36,53,2500,2,242019328,43200000,1
Branin-Unfav,Sequential,43,1.0,24,52,76,2500,2,347677696,43200000,1
Branin-Unfav,Progressive,42,0.1,2,5,7,2500,2,17091840,43200000,1
Branin-Unfav,Progressive,42,0.3,7,16,23,2500,2,55987968,43200000,1
Branin-Unfav,Progressive,42,0.5,12,26,38,2500,2,92328448,43200000,1
Branin-Unfav,Progressive,42,0.7,17,36,53,2500,2,128668928,43200000,1
Branin-Unfav,Progressive,42,1.0,24,52,76,2500,2,184656896,43200000,1
Branin-Unfav,Progressive,43,0.1,2,5,7,2500,2,17091840,43200000,1
