benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
COFs,DNGO-Joint,49,0.0,15,230,-18.53448594783226,332.389,1.7061914359337733,2.2081431630818553,0.29090909090909095,3.1363887179828214,8.280960938213532,363
COFs,DNGO-Joint,50,1.6834527522225677,15,230,-16.85103319560969,335.371,2.014092006328366,2.19879632359159,0.24710743801652893,2.7851588573613615,5.6926281367495895,363
COFs,DNGO-Joint,51,0.0,15,230,-18.53448594783226,334.573,1.6327174680975984,2.2096325883495314,0.28870523415977967,3.194800931905619,6.619487986677668,363
COFs,DNGO-Gradient,42,0.0,15,230,-18.53448594783226,345.466,1.9489575011022438,2.2027297952998843,0.2672176308539945,2.919603165254247,5.95491760995107,363
COFs,DNGO-Gradient,43,0.0,15,230,-18.53448594783226,343.921,1.6858718170726696,2.1726842298936813,0.2787878787878788,2.992884312330452,4.642311711280279,363
COFs,DNGO-Gradient,44,0.0,15,230,-18.53448594783226,345.781,1.9320991877089329,2.254182873995523,0.26749311294765843,3.1634419649969443,5.951794914675914,363
COFs,DNGO-Gradient,45,0.0,15,230,-18.53448594783226,372.303,1.8265646563687883,2.214879507136561,0.2732782369146005,3.069330104042455,8.708863166916089,363
COFs,DNGO-Gradient,46,0.0,15,230,-18.53448594783226,353.1,1.7706619229479896,2.201683873368746,0.27933884297520667,3.0525300599774723,3.9724408222303214,363
COFs,DNGO-Gradient,47,1.6834527522225677,15,230,-16.85103319560969,374.111,1.9629812981015915,2.176128915216047,0.2523415977961433,2.723528743528115,8.004414596744768,363
COFs,DNGO-Gradient,48,0.0,15,230,-18.53448594783226,339.555,1.760082607354822,2.2284301847135053,0.278236914600551,3.1814540823720487,6.115697424472628,363
COFs,DNGO-Gradient,49,0.0,15,230,-18.53448594783226,361.378,1.8493442923146342,2.2196355913921946,0.25702479338842976,3.0669075595637394,3.788950758607918,363
COFs,Knowledge Distillation,43,1.6834527522225677,15,230,-16.85103319560969,270.81,1.8725244164924397,2.1645018602277797,0.27851239669421485,2.7849412397817606,1.8496291549903003,363
COFs,Knowledge Distillation,42,1.6834527522225677,15,230,-16.85103319560969,273.423,1.8335916578389662,2.1463774364446575,0.2804407713498623,2.742060086070947,1.943304868141905,363
COFs,Knowledge Distillation,44,0.0,15,230,-18.53448594783226,274.923,1.682747093531402,2.190079214570825,0.28539944903581266,3.0711553072976843,1.7680056173934473,363
COFs,Knowledge Distillation,46,0.0,15,230,-18.53448594783226,278.76,1.7362831298325645,2.157068314649809,0.2771349862258954,2.8813092675372447,1.6876514956986073,363
COFs,Knowledge Distillation,45,1.6834527522225677,15,230,-16.85103319560969,293.498,1.855656290426863,2.159088695427475,0.27410468319559234,2.770237228833382,1.9260865153361932,363
COFs,DNGO-Gradient,51,0.0,15,230,-18.53448594783226,342.804,2.023105590681795,2.222465952969327,0.250137741046832,2.9529867933033906,4.370393813908452,363
COFs,Knowledge Distillation,48,0.0,15,230,-18.53448594783226,255.219,1.6608693738030238,2.2123963080641125,0.28319559228650143,3.1815302428678045,1.5922167354803645,363
COFs,DNGO-Gradient,50,0.0,15,230,-18.53448594783226,352.671,1.7846465525588238,2.190901365163901,0.2705234159779615,2.989408758962342,2.74434040798991,363
COFs,Knowledge Distillation,47,1.6834527522225677,15,230,-16.85103319560969,276.854,1.8974234202957654,2.1686135088474456,0.27327823691460057,2.7638278363848845,1.9495720478584475,363
COFs,Knowledge Distillation,49,1.6834527522225677,15,230,-16.85103319560969,281.707,1.7353296838631693,2.1605612098311093,0.2801652892561984,2.908789240670108,1.7320467370663215,363
COFs,Knowledge Distillation,50,1.6834527522225677,15,230,-16.85103319560969,294.171,1.7568216891221493,2.1387049766975728,0.2878787878787879,2.775784099740602,2.009364312465499,363
COFs,Knowledge Distillation,51,0.0,15,230,-18.53448594783226,290.448,1.7753790262781726,2.1704256932433452,0.2815426997245179,2.9480066042977833,1.5301695298545248,363
COFs,Soft Parameter Sharing,42,1.6834527522225677,15,230,-16.85103319560969,291.952,1.9393932332253891,2.1708297231323996,0.2520661157024794,2.7233577126711004,8.776495088404648,363
COFs,Domain Adaptation (MMD),42,1.6834527522225677,15,230,-16.85103319560969,522.875,1.9289331895866209,2.1759251366244343,0.2677685950413224,2.773841256581498,1.9327843162954634,363
COFs,Soft Parameter Sharing,43,0.0,15,230,-18.53448594783226,313.449,1.658815073323005,2.1723800520526084,0.29834710743801657,3.0148929906608215,6.686439012899906,363
COFs,Domain Adaptation (MMD),43,1.6834527522225677,15,230,-16.85103319560969,545.836,1.8954284193889646,2.167401048056707,0.26942148760330575,2.773485584402512,1.636767587781659,363
