benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
Park-Fav,Sequential,42,0.9061440243658865,4,55,0.9061440243658865,209.828,9.5,0.5024131072686352,2.4451636598779434,0.4385786802030457,4.574581829305751,3.371070744765512,197
Park-Fav,Sequential,43,1.1281375602258802e-07,4,55,1.1281375602258802e-07,209.934,9.5,0.48415070522280873,2.3807186789629413,0.43959390862944164,4.2876339972609,3.4761095623976868,197
Park-Fav,Sequential,44,2.051277131164388e-07,4,55,2.051277131164388e-07,206.611,9.5,0.3518034118207588,2.3976353956103824,0.4604060913705584,4.374240709713154,2.8642828142931616,197
Park-Fav,Sequential,45,1.1161802446987618e-07,4,55,1.1161802446987618e-07,209.86,9.5,0.39360446766675744,2.384680071256758,0.44822335025380705,4.31434944859766,3.6382753685895803,197
Park-Fav,Sequential,46,2.586872597596253e-07,4,55,2.586872597596253e-07,211.752,9.5,0.44911027476955134,2.3892606253891326,0.4472081218274112,4.329260687663039,3.6513036817986153,197
Park-Fav,Sequential,47,0.9061440243658865,4,55,0.9061440243658865,209.908,9.5,0.4187696504121818,2.401181517765028,0.4583756345177664,4.385393479701374,1.6736152671371345,197
Park-Fav,Sequential,48,0.9061440243658865,4,55,0.9061440243658865,211.07,9.5,0.41527596658072546,2.428722551589254,0.4532994923857868,4.507504550343631,1.8983402244990755,197
Park-Fav,Sequential,49,2.586872597596253e-07,4,55,2.586872597596253e-07,210.069,9.5,0.3959168199007256,2.475555384609864,0.45177664974619286,4.727292801662407,2.021014307358452,197
Park-Fav,Sequential,51,0.9061440243658865,4,55,0.9061440243658865,208.526,9.5,0.531085352163666,2.4653308693063583,0.4248730964467005,4.6661443778334215,3.4780624556000728,197
Park-Fav,Sequential,50,0.9061348491953457,4,55,0.9061348491953457,209.405,9.5,0.5480828081490734,2.421238368615889,0.4248730964467005,4.458936422209657,1.7448525400559114,197
Park-Fav,Progressive,43,0.9061440243658865,4,55,0.9061440243658865,177.141,9.5,0.6478262431856886,2.379141999291454,0.40761421319796953,4.259699810263354,3.957527726095568,197
Park-Fav,Progressive,42,0.9061440243658865,4,55,0.9061440243658865,181.058,9.5,0.6857861524595217,2.4438790881866836,0.40609137055837563,4.5449688842792275,3.5932689704520877,197
Park-Fav,Progressive,44,2.0780363189549918e-07,4,55,2.0780363189549918e-07,180.086,9.5,0.44777741724243014,2.3917015918226605,0.43604060913705595,4.339410229725486,3.920197801716485,197
Park-Fav,Progressive,45,0.9060940243681365,4,55,0.9060940243681365,181.654,9.5,0.6326964342024852,2.3871919427734216,0.41116751269035534,4.296956314908929,3.77534286888419,197
Park-Fav,Progressive,46,0.9061440243658865,4,55,0.9061440243658865,182.337,9.5,0.6425580472153832,2.391174792315829,0.4152284263959391,4.313580872611684,3.9893583412979114,197
