benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_75,MFGP,42,0.0,0.011725452426430045,25,249,195.7
cell_75,MFGP,43,0.0,0.0,25,249,194.5
cell_75,MFGP,44,0.0,0.16806819040219206,25,249,175.0
cell_75,MFGP,45,0.0,0.21985644835809856,25,249,183.4
cell_75,MFGP,46,0.0,0.22324222754594336,25,249,178.6
cell_75,MFGP,47,0.0,0.011725452426430045,25,249,276.5
cell_75,MFGP,48,0.0,0.060650636148790654,25,249,222.7
cell_75,MFGP,49,0.0,0.0193535724691637,25,249,182.0
cell_75,MFGP,50,0.0,0.0,25,249,192.8
cell_75,MFGP,51,0.0,0.1913032686932772,25,249,160.0
cell_75,DKL,42,0.0,0.009418806047460213,25,249,670.4
cell_75,DKL,43,0.0,0.0,25,249,675.0
cell_75,DKL,44,0.0,0.05477273463045067,25,249,659.2
cell_75,DKL,45,0.0,0.06471761792223732,25,249,672.3
cell_75,DKL,46,0.0,0.07894868183927348,25,249,660.3
cell_75,DKL,47,0.0,0.009418806047460213,25,249,663.9
cell_75,DKL,48,0.0,0.007800106834148032,25,249,656.4
cell_75,DKL,49,0.0,0.0193535724691637,25,249,667.9
cell_75,DKL,50,0.0,0.0,25,249,662.5
cell_75,DKL,51,0.0,0.03871388951838282,25,249,667.1
cell_75,SparseMFGP,42,0.0,0.011725452426430045,25,249,890.4
cell_75,SparseMFGP,43,0.0,0.0,25,249,883.4
cell_75,SparseMFGP,44,0.0,0.2588907054291164,25,249,885.6
cell_75,SparseMFGP,45,0.0,0.0750368254071024,25,249,886.0
cell_75,SparseMFGP,46,0.0,0.30621405138830377,25,249,893.9
cell_75,SparseMFGP,47,0.0,0.011725452426430045,25,249,889.6
cell_75,SparseMFGP,48,0.0,0.015488928097380835,25,249,886.3
cell_75,SparseMFGP,49,0.0,0.027204263653727728,25,249,898.4
cell_75,SparseMFGP,50,0.0,0.0,25,249,891.7
cell_75,SparseMFGP,51,0.0,0.12828191265498967,25,249,879.1
cell_75,Progressive,42,0.0,0.004036631163197239,25,249,39.9
cell_75,Progressive,43,0.0,0.0,25,249,38.7
cell_75,Progressive,44,0.0,0.02386906881629911,25,249,39.7
cell_75,Progressive,45,0.0,0.024735747353426672,25,249,39.6
cell_75,Progressive,46,0.0,0.024735747353426672,25,249,37.3
cell_75,Progressive,47,0.0,0.004036631163197239,25,249,37.3
cell_75,Progressive,48,0.0,0.004036631163197239,25,249,38.1
cell_75,Progressive,49,0.0,0.0193535724691637,25,249,36.6
cell_75,Progressive,50,0.0,0.0,25,249,38.5
cell_75,Progressive,51,0.0,0.021973841820712773,25,249,38.7
cell_75,KnowledgeDistillation,42,0.0,0.004036631163197239,25,249,65.8
cell_75,KnowledgeDistillation,43,0.0,0.0,25,249,65.2
cell_75,KnowledgeDistillation,44,0.0,0.017421250283272294,25,249,64.2
cell_75,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,65.6
cell_75,KnowledgeDistillation,46,0.0,0.024735747353426672,25,249,64.2
cell_75,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,64.9
cell_75,KnowledgeDistillation,48,0.0,0.004036631163197239,25,249,64.5
cell_75,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,63.3
cell_75,KnowledgeDistillation,50,0.0,0.0,25,249,62.2
cell_75,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,62.9
cell_75,PseudoLabeling,42,0.0,0.004036631163197239,25,249,73.2
cell_75,PseudoLabeling,43,0.0,0.0,25,249,72.8
cell_75,PseudoLabeling,44,0.0,0.017421250283272294,25,249,72.0
cell_75,PseudoLabeling,45,0.0,0.0193535724691637,25,249,72.9
cell_75,PseudoLabeling,46,0.0,0.024735747353426672,25,249,72.6
cell_75,PseudoLabeling,47,0.0,0.004036631163197239,25,249,73.1
cell_75,PseudoLabeling,48,0.0,0.004036631163197239,25,249,72.9
cell_75,PseudoLabeling,49,0.0,0.0193535724691637,25,249,73.0
cell_75,PseudoLabeling,50,0.0,0.0,25,249,72.2
cell_75,PseudoLabeling,51,0.0,0.0165916669364498,25,249,72.1
