benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_73,MFGP,42,0.08919437340153435,0.09057026773284974,25,249,205.3
cell_73,MFGP,43,0.0,0.0,25,249,191.7
cell_73,MFGP,44,0.15281329923273657,0.1785101492440673,25,249,206.8
cell_73,MFGP,45,0.3797953964194374,0.420866516667206,25,249,188.7
cell_73,MFGP,46,0.15281329923273657,0.34911092945708777,25,249,191.4
cell_73,MFGP,47,0.08919437340153435,0.09057026773284974,25,249,220.1
cell_73,MFGP,48,0.08919437340153435,0.09057026773284974,25,249,205.0
cell_73,MFGP,49,0.15281329923273657,0.409771682475962,25,249,202.1
cell_73,MFGP,50,0.0,0.0,25,249,186.8
cell_73,MFGP,51,0.15281329923273657,0.1951625174010163,25,249,218.0
cell_73,DKL,42,0.08919437340153435,0.09914937356340431,25,249,701.4
cell_73,DKL,43,0.0,0.0,25,249,720.4
cell_73,DKL,44,0.15281329923273657,0.19895971597224443,25,249,727.4
cell_73,DKL,45,0.15281329923273657,0.34382317869360146,25,249,717.9
cell_73,DKL,46,0.15281329923273657,0.32179538023244475,25,249,696.6
cell_73,DKL,47,0.08919437340153435,0.11485075593253255,25,249,708.7
cell_73,DKL,48,0.08919437340153435,0.09882563372074184,25,249,730.6
cell_73,DKL,49,0.15281329923273657,0.2166203988474858,25,249,721.2
cell_73,DKL,50,0.0,0.0,25,249,726.1
cell_73,DKL,51,0.15281329923273657,0.26576478142164917,25,249,744.5
cell_73,SparseMFGP,42,0.08919437340153435,0.09057026773284974,25,249,956.5
cell_73,SparseMFGP,43,0.0,0.0,25,249,969.5
cell_73,SparseMFGP,44,0.15281329923273657,0.3250563846892633,25,249,975.6
cell_73,SparseMFGP,45,0.08919437340153435,0.18108927665727756,25,249,954.0
cell_73,SparseMFGP,46,0.08919437340153435,0.18083298261516975,25,249,1002.2
cell_73,SparseMFGP,47,0.08919437340153435,0.09040839781151852,25,249,1032.8
cell_73,SparseMFGP,48,0.08919437340153435,0.09057026773284974,25,249,1003.3
cell_73,SparseMFGP,49,0.08919437340153435,0.18454250164567684,25,249,975.3
cell_73,SparseMFGP,50,0.0,0.0,25,249,953.1
cell_73,SparseMFGP,51,0.08919437340153435,0.1780980554026777,25,249,1038.8
cell_73,Progressive,42,0.0,0.05247620512156413,25,249,47.4
cell_73,Progressive,43,0.0,0.0,25,249,47.9
cell_73,Progressive,44,0.0,0.13992980241078254,25,249,50.3
cell_73,Progressive,45,0.0,0.15750955032535827,25,249,49.3
cell_73,Progressive,46,0.0,0.08383175779943207,25,249,49.3
cell_73,Progressive,47,0.08919437340153435,0.09121774741817462,25,249,47.9
cell_73,Progressive,48,0.0,0.09553360419566828,25,249,48.9
cell_73,Progressive,49,0.0,0.15777933352757692,25,249,47.6
cell_73,Progressive,50,0.0,0.0,25,249,50.4
cell_73,Progressive,51,0.0,0.11330894493185255,25,249,48.6
cell_73,KnowledgeDistillation,42,0.1275575447570333,0.12755754475703326,25,249,85.4
cell_73,KnowledgeDistillation,43,0.0,0.0,25,249,93.0
cell_73,KnowledgeDistillation,44,0.15281329923273657,0.16539868561623872,25,249,84.3
cell_73,KnowledgeDistillation,45,0.15281329923273657,0.16733100780213014,25,249,86.2
cell_73,KnowledgeDistillation,46,0.15281329923273657,0.16733100780213014,25,249,88.7
cell_73,KnowledgeDistillation,47,0.1275575447570333,0.12755754475703326,25,249,86.6
cell_73,KnowledgeDistillation,48,0.1275575447570333,0.12755754475703326,25,249,84.9
cell_73,KnowledgeDistillation,49,0.0,0.13457797813676897,25,249,85.3
cell_73,KnowledgeDistillation,50,0.0,0.0,25,249,81.4
cell_73,KnowledgeDistillation,51,0.0,0.11975676346487943,25,249,82.2
cell_73,PseudoLabeling,42,0.1275575447570333,0.12755754475703326,25,249,94.7
cell_73,PseudoLabeling,43,0.0,0.0,25,249,96.7
cell_73,PseudoLabeling,44,0.15281329923273657,0.16539868561623872,25,249,93.7
cell_73,PseudoLabeling,45,0.15281329923273657,0.16733100780213014,25,249,93.3
cell_73,PseudoLabeling,46,0.15281329923273657,0.16733100780213014,25,249,95.2
cell_73,PseudoLabeling,47,0.1275575447570333,0.12755754475703326,25,249,93.3
cell_73,PseudoLabeling,48,0.1275575447570333,0.12755754475703326,25,249,85.2
cell_73,PseudoLabeling,49,0.15281329923273657,0.18583813547433264,25,249,97.8
cell_73,PseudoLabeling,50,0.0,0.0,25,249,90.7
cell_73,PseudoLabeling,51,0.0,0.11975676346487943,25,249,95.2
