benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_40,MFGP,42,0.0,0.027588704716889317,25,249,233.0
cell_40,MFGP,43,0.0,0.0,25,249,340.4
cell_40,MFGP,44,0.0,0.10027167168463381,25,249,348.6
cell_40,MFGP,45,0.0,0.13704649443706987,25,249,424.5
cell_40,MFGP,46,0.0,0.11376420408559619,25,249,533.1
cell_40,MFGP,47,0.0,0.027588704716889317,25,249,232.0
cell_40,MFGP,48,0.0,0.03543939590145341,25,249,237.0
cell_40,MFGP,49,0.0,0.06407013823691245,25,249,355.0
cell_40,MFGP,50,0.0,0.0,25,249,363.2
cell_40,MFGP,51,0.0,0.07025154585774829,25,249,356.2
cell_40,DKL,42,0.0,0.02018315581598616,25,249,714.2
cell_40,DKL,43,0.0,0.0,25,249,722.8
cell_40,DKL,44,0.0,0.07180954385056128,25,249,709.3
cell_40,DKL,45,0.0,0.06621491469455107,25,249,701.9
cell_40,DKL,46,0.0,0.05805397282743553,25,249,715.3
cell_40,DKL,47,0.0,0.014800980931723185,25,249,708.9
cell_40,DKL,48,0.0,0.014800980931723185,25,249,727.4
cell_40,DKL,49,0.0,0.06817084291063662,25,249,724.3
cell_40,DKL,50,0.0,0.0,25,249,720.3
cell_40,DKL,51,0.0,0.04927590188524473,25,249,707.3
cell_40,SparseMFGP,42,0.0,0.03414443653080365,25,249,875.6
cell_40,SparseMFGP,43,0.0,0.0,25,249,920.2
cell_40,SparseMFGP,44,0.0,0.2560849601260421,25,249,917.4
cell_40,SparseMFGP,45,0.15281329923273657,0.4916104168690039,25,249,930.0
cell_40,SparseMFGP,46,0.0,0.35152414020093403,25,249,919.2
cell_40,SparseMFGP,47,0.0,0.05312368480688901,25,249,845.8
cell_40,SparseMFGP,48,0.0,0.049198339214606965,25,249,938.4
cell_40,SparseMFGP,49,0.0,0.09833260491868694,25,249,916.8
cell_40,SparseMFGP,50,0.0,0.0,25,249,917.6
cell_40,SparseMFGP,51,0.0,0.14869101190283404,25,249,909.7
cell_40,Progressive,42,0.0,0.004036631163197239,25,249,44.3
cell_40,Progressive,43,0.0,0.0,25,249,45.9
cell_40,Progressive,44,0.0,0.017421250283272294,25,249,42.1
cell_40,Progressive,45,0.0,0.0193535724691637,25,249,43.8
cell_40,Progressive,46,0.0,0.0193535724691637,25,249,44.6
cell_40,Progressive,47,0.0,0.004036631163197239,25,249,45.2
cell_40,Progressive,48,0.0,0.004036631163197239,25,249,43.9
cell_40,Progressive,49,0.0,0.0193535724691637,25,249,43.1
cell_40,Progressive,50,0.0,0.0,25,249,45.0
cell_40,Progressive,51,0.0,0.0165916669364498,25,249,45.0
cell_40,KnowledgeDistillation,42,0.0,0.004036631163197239,25,249,73.9
cell_40,KnowledgeDistillation,43,0.0,0.0,25,249,73.3
cell_40,KnowledgeDistillation,44,0.0,0.017421250283272294,25,249,73.6
cell_40,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,73.3
cell_40,KnowledgeDistillation,46,0.0,0.0193535724691637,25,249,74.1
cell_40,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,73.0
cell_40,KnowledgeDistillation,48,0.0,0.004036631163197239,25,249,68.0
cell_40,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,73.5
cell_40,KnowledgeDistillation,50,0.0,0.0,25,249,70.8
cell_40,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,70.6
cell_40,PseudoLabeling,42,0.0,0.004036631163197239,25,249,81.8
cell_40,PseudoLabeling,43,0.0,0.0,25,249,82.7
cell_40,PseudoLabeling,44,0.0,0.017421250283272294,25,249,83.0
cell_40,PseudoLabeling,45,0.0,0.0193535724691637,25,249,82.4
cell_40,PseudoLabeling,46,0.0,0.0193535724691637,25,249,84.0
cell_40,PseudoLabeling,47,0.0,0.004036631163197239,25,249,81.2
cell_40,PseudoLabeling,48,0.0,0.004036631163197239,25,249,80.9
cell_40,PseudoLabeling,49,0.0,0.0193535724691637,25,249,82.7
cell_40,PseudoLabeling,50,0.0,0.0,25,249,64.7
cell_40,PseudoLabeling,51,0.0,0.0165916669364498,25,249,79.4
