benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_31,MFGP,42,0.08919437340153435,0.09073213765418095,25,249,204.3
cell_31,MFGP,43,0.0,0.0,25,249,174.3
cell_31,MFGP,44,0.08919437340153435,0.23332942147690083,25,249,226.5
cell_31,MFGP,45,0.09303069053708435,0.20630591256865932,25,249,251.2
cell_31,MFGP,46,0.2320971867007673,0.2971992456861661,25,249,298.2
cell_31,MFGP,47,0.08919437340153435,0.09137961733950584,25,249,190.0
cell_31,MFGP,48,0.08919437340153435,0.09073213765418095,25,249,186.0
cell_31,MFGP,49,0.2320971867007673,0.29692946248394747,25,249,308.9
cell_31,MFGP,50,0.0,0.0,25,249,193.5
cell_31,MFGP,51,0.2320971867007673,0.31472503696029835,25,249,302.2
cell_31,DKL,42,0.08919437340153435,0.09736880442876089,25,249,630.8
cell_31,DKL,43,0.0,0.0,25,249,662.0
cell_31,DKL,44,0.08919437340153435,0.20389607411484073,25,249,657.9
cell_31,DKL,45,0.0,0.21903360959133192,25,249,612.8
cell_31,DKL,46,0.08919437340153435,0.24296405408613608,25,249,660.0
cell_31,DKL,47,0.08919437340153435,0.09380766615947408,25,249,659.2
cell_31,DKL,48,0.08919437340153435,0.09623571497944239,25,249,663.6
cell_31,DKL,49,0.08919437340153435,0.20982118769356906,25,249,663.5
cell_31,DKL,50,0.0,0.0,25,249,664.3
cell_31,DKL,51,0.08919437340153435,0.20337674145057005,25,249,664.8
cell_31,SparseMFGP,42,0.08919437340153435,0.09057026773284974,25,249,886.3
cell_31,SparseMFGP,43,0.0,0.0,25,249,876.3
cell_31,SparseMFGP,44,0.08919437340153435,0.2677267797597844,25,249,875.0
cell_31,SparseMFGP,45,0.08919437340153435,0.3717720439854528,25,249,879.0
cell_31,SparseMFGP,46,0.08919437340153435,0.2825817173319514,25,249,874.2
cell_31,SparseMFGP,47,0.08919437340153435,0.09057026773284974,25,249,882.0
cell_31,SparseMFGP,48,0.08919437340153435,0.09057026773284974,25,249,882.2
cell_31,SparseMFGP,49,0.08919437340153435,0.12954719587339575,25,249,877.7
cell_31,SparseMFGP,50,0.0,0.0,25,249,900.8
cell_31,SparseMFGP,51,0.0,0.25700896759364117,25,249,890.6
cell_31,Progressive,42,0.08919437340153435,0.09057026773284974,25,249,36.5
cell_31,Progressive,43,0.0,0.0,25,249,37.9
cell_31,Progressive,44,0.08919437340153435,0.1246877259434315,25,249,37.2
cell_31,Progressive,45,0.08919437340153435,0.10750590825212834,25,249,38.3
cell_31,Progressive,46,0.08919437340153435,0.12662004812932293,25,249,38.1
cell_31,Progressive,47,0.08919437340153435,0.09057026773284974,25,249,43.9
cell_31,Progressive,48,0.08919437340153435,0.09057026773284974,25,249,38.6
cell_31,Progressive,49,0.08919437340153435,0.12330171474203294,25,249,37.1
cell_31,Progressive,50,0.0,0.0,25,249,39.0
cell_31,Progressive,51,0.08919437340153435,0.12310274963039666,25,249,37.9
cell_31,KnowledgeDistillation,42,0.08919437340153435,0.09057026773284974,25,249,63.5
cell_31,KnowledgeDistillation,43,0.0,0.0,25,249,63.3
cell_31,KnowledgeDistillation,44,0.08919437340153435,0.10557358606623694,25,249,64.3
cell_31,KnowledgeDistillation,45,0.08919437340153435,0.1701091003269768,25,249,62.7
cell_31,KnowledgeDistillation,46,0.08919437340153435,0.14252376790011503,25,249,64.7
cell_31,KnowledgeDistillation,47,0.08919437340153435,0.09073213765418095,25,249,63.4
cell_31,KnowledgeDistillation,48,0.08919437340153435,0.09073213765418095,25,249,63.2
cell_31,KnowledgeDistillation,49,0.08919437340153435,0.10750590825212834,25,249,65.5
cell_31,KnowledgeDistillation,50,0.0,0.0,25,249,62.9
cell_31,KnowledgeDistillation,51,0.08919437340153435,0.14985175413038038,25,249,62.9
cell_31,PseudoLabeling,42,0.08919437340153435,0.09057026773284974,25,249,73.1
cell_31,PseudoLabeling,43,0.0,0.0,25,249,71.9
cell_31,PseudoLabeling,44,0.08919437340153435,0.10557358606623694,25,249,72.5
cell_31,PseudoLabeling,45,0.08919437340153435,0.1701091003269768,25,249,71.9
cell_31,PseudoLabeling,46,0.08919437340153435,0.14252376790011503,25,249,72.4
cell_31,PseudoLabeling,47,0.08919437340153435,0.09089400757551218,25,249,72.9
cell_31,PseudoLabeling,48,0.08919437340153435,0.09073213765418095,25,249,73.9
cell_31,PseudoLabeling,49,0.08919437340153435,0.14240236545911658,25,249,74.4
cell_31,PseudoLabeling,50,0.0,0.0,25,249,71.1
cell_31,PseudoLabeling,51,0.08919437340153435,0.1500136240517116,25,249,71.3
