benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_72,MFGP,42,0.0,0.011725452426430045,25,249,455.6
cell_72,MFGP,43,0.0,0.0,25,249,424.4
cell_72,MFGP,44,0.0,0.11532557436843689,25,249,407.6
cell_72,MFGP,45,0.0,0.07215014514336236,25,249,386.8
cell_72,MFGP,46,0.0,0.10498276085337756,25,249,235.1
cell_72,MFGP,47,0.0,0.011725452426430045,25,249,428.1
cell_72,MFGP,48,0.0,0.0380697821230857,25,249,612.5
cell_72,MFGP,49,0.0,0.0193535724691637,25,249,614.7
cell_72,MFGP,50,0.0,0.0,25,249,386.2
cell_72,MFGP,51,0.0,0.09075506922636917,25,249,381.5
cell_72,DKL,42,0.0,0.007800106834148032,25,249,1079.1
cell_72,DKL,43,0.0,0.0,25,249,1033.0
cell_72,DKL,44,0.0,0.08560895464404751,25,249,945.0
cell_72,DKL,45,0.0,0.09091356685767263,25,249,733.7
cell_72,DKL,46,0.0,0.050540510645644875,25,249,1032.2
cell_72,DKL,47,0.0,0.009418806047460213,25,249,952.0
cell_72,DKL,48,0.0,0.007800106834148032,25,249,1079.8
cell_72,DKL,49,0.0,0.0451583357613819,25,249,1102.8
cell_72,DKL,50,0.0,0.0,25,249,1034.9
cell_72,DKL,51,0.0,0.06078215545987209,25,249,1044.1
cell_72,SparseMFGP,42,0.0,0.011725452426430045,25,249,1034.1
cell_72,SparseMFGP,43,0.0,0.0,25,249,1320.1
cell_72,SparseMFGP,44,0.0,0.18409331261398257,25,249,1195.8
cell_72,SparseMFGP,45,0.0,0.07478053136499463,25,249,1309.0
cell_72,SparseMFGP,46,0.0,0.08563930525429712,25,249,1044.8
cell_72,SparseMFGP,47,0.0,0.011725452426430045,25,249,1266.7
cell_72,SparseMFGP,48,0.0,0.007961976755479253,25,249,1312.4
cell_72,SparseMFGP,49,0.0,0.041448816730874846,25,249,1297.0
cell_72,SparseMFGP,50,0.0,0.0,25,249,1169.0
cell_72,SparseMFGP,51,0.0,0.048021409994927794,25,249,1277.9
cell_72,Progressive,42,0.0,0.004036631163197239,25,249,95.8
cell_72,Progressive,43,0.0,0.0,25,249,104.5
cell_72,Progressive,44,0.0,0.02386906881629911,25,249,100.7
cell_72,Progressive,45,0.0,0.0193535724691637,25,249,86.0
cell_72,Progressive,46,0.0,0.024735747353426672,25,249,99.7
cell_72,Progressive,47,0.0,0.004036631163197239,25,249,42.0
cell_72,Progressive,48,0.0,0.004036631163197239,25,249,45.3
cell_72,Progressive,49,0.0,0.0193535724691637,25,249,96.0
cell_72,Progressive,50,0.0,0.0,25,249,93.7
cell_72,Progressive,51,0.0,0.0165916669364498,25,249,100.0
cell_72,KnowledgeDistillation,42,0.0,0.004036631163197239,25,249,174.1
cell_72,KnowledgeDistillation,43,0.0,0.0,25,249,174.1
cell_72,KnowledgeDistillation,44,0.0,0.02386906881629911,25,249,167.0
cell_72,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,168.5
cell_72,KnowledgeDistillation,46,0.0,0.0193535724691637,25,249,161.3
cell_72,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,167.5
cell_72,KnowledgeDistillation,48,0.0,0.004036631163197239,25,249,166.5
cell_72,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,168.6
cell_72,KnowledgeDistillation,50,0.0,0.0,25,249,68.9
cell_72,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,71.7
cell_72,PseudoLabeling,42,0.0,0.004036631163197239,25,249,144.6
cell_72,PseudoLabeling,43,0.0,0.0,25,249,158.0
cell_72,PseudoLabeling,44,0.0,0.02386906881629911,25,249,163.8
cell_72,PseudoLabeling,45,0.0,0.0193535724691637,25,249,173.6
cell_72,PseudoLabeling,46,0.0,0.0193535724691637,25,249,160.7
cell_72,PseudoLabeling,47,0.0,0.004036631163197239,25,249,143.8
cell_72,PseudoLabeling,48,0.0,0.004036631163197239,25,249,140.4
cell_72,PseudoLabeling,49,0.0,0.0193535724691637,25,249,170.2
cell_72,PseudoLabeling,50,0.0,0.0,25,249,80.9
cell_72,PseudoLabeling,51,0.0,0.0165916669364498,25,249,83.5
