benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_65,MFGP,42,0.0,0.023015879439282422,25,249,244.6
cell_65,MFGP,43,0.0,0.0,25,249,231.1
cell_65,MFGP,44,0.0,0.1305953036140151,25,249,192.7
cell_65,MFGP,45,0.0,0.14241518016122184,25,249,215.3
cell_65,MFGP,46,0.0,0.1424691368016655,25,249,213.8
cell_65,MFGP,47,0.0,0.011725452426430045,25,249,223.3
cell_65,MFGP,48,0.0,0.056887160477839836,25,249,219.3
cell_65,MFGP,49,0.0,0.0193535724691637,25,249,222.3
cell_65,MFGP,50,0.0,0.0,25,249,200.3
cell_65,MFGP,51,0.0,0.06304833435850912,25,249,219.0
cell_65,DKL,42,0.0,0.004036631163197239,25,249,708.5
cell_65,DKL,43,0.0,0.0,25,249,789.0
cell_65,DKL,44,0.0,0.022803425167535262,25,249,704.4
cell_65,DKL,45,0.0,0.08628678493962201,25,249,764.5
cell_65,DKL,46,0.0,0.07488844464588211,25,249,772.7
cell_65,DKL,47,0.0,0.009418806047460213,25,249,704.4
cell_65,DKL,48,0.0,0.009418806047460213,25,249,703.9
cell_65,DKL,49,0.0,0.05982105280196799,25,249,707.7
cell_65,DKL,50,0.0,0.0,25,249,704.2
cell_65,DKL,51,0.0,0.028866802637400435,25,249,701.2
cell_65,SparseMFGP,42,0.0,0.011725452426430045,25,249,992.8
cell_65,SparseMFGP,43,0.0,0.0,25,249,953.0
cell_65,SparseMFGP,44,0.0,0.21630542695889513,25,249,958.9
cell_65,SparseMFGP,45,0.0,0.07478053136499463,25,249,1015.5
cell_65,SparseMFGP,46,0.0,0.0451583357613819,25,249,963.8
cell_65,SparseMFGP,47,0.0,0.011725452426430045,25,249,967.9
cell_65,SparseMFGP,48,0.0,0.007961976755479253,25,249,949.2
cell_65,SparseMFGP,49,0.0,0.041448816730874846,25,249,940.9
cell_65,SparseMFGP,50,0.0,0.0,25,249,977.8
cell_65,SparseMFGP,51,0.0,0.09597537418930088,25,249,1004.5
cell_65,Progressive,42,0.0,0.004036631163197239,25,249,53.6
cell_65,Progressive,43,0.0,0.0,25,249,53.2
cell_65,Progressive,44,0.0,0.02386906881629911,25,249,55.2
cell_65,Progressive,45,0.0,0.0193535724691637,25,249,51.3
cell_65,Progressive,46,0.0,0.0193535724691637,25,249,51.4
cell_65,Progressive,47,0.0,0.004036631163197239,25,249,51.9
cell_65,Progressive,48,0.0,0.004036631163197239,25,249,50.5
cell_65,Progressive,49,0.0,0.0193535724691637,25,249,52.5
cell_65,Progressive,50,0.0,0.0,25,249,50.6
cell_65,Progressive,51,0.0,0.021973841820712773,25,249,52.4
cell_65,KnowledgeDistillation,42,0.0,0.004036631163197239,25,249,88.5
cell_65,KnowledgeDistillation,43,0.0,0.0,25,249,85.6
cell_65,KnowledgeDistillation,44,0.0,0.017421250283272294,25,249,86.9
cell_65,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,85.3
cell_65,KnowledgeDistillation,46,0.0,0.0193535724691637,25,249,89.5
cell_65,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,86.4
cell_65,KnowledgeDistillation,48,0.0,0.004036631163197239,25,249,87.7
cell_65,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,88.3
cell_65,KnowledgeDistillation,50,0.0,0.0,25,249,79.4
cell_65,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,78.3
cell_65,PseudoLabeling,42,0.0,0.004036631163197239,25,249,91.9
cell_65,PseudoLabeling,43,0.0,0.0,25,249,92.1
cell_65,PseudoLabeling,44,0.0,0.017421250283272294,25,249,91.5
cell_65,PseudoLabeling,45,0.0,0.0193535724691637,25,249,91.7
cell_65,PseudoLabeling,46,0.0,0.0193535724691637,25,249,94.4
cell_65,PseudoLabeling,47,0.0,0.004036631163197239,25,249,91.8
cell_65,PseudoLabeling,48,0.0,0.004036631163197239,25,249,90.3
cell_65,PseudoLabeling,49,0.0,0.0193535724691637,25,249,95.3
cell_65,PseudoLabeling,50,0.0,0.0,25,249,87.7
cell_65,PseudoLabeling,51,0.0,0.0165916669364498,25,249,86.2
