benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_36,MFGP,42,0.08919437340153435,0.09057026773284974,25,249,430.7
cell_36,MFGP,43,0.0,0.0,25,249,258.5
cell_36,MFGP,44,0.4619565217391305,0.46489378635328665,25,249,388.1
cell_36,MFGP,45,0.4619565217391305,0.472612958226769,25,249,604.5
cell_36,MFGP,46,0.46707161125319696,0.48371723483009044,25,249,530.5
cell_36,MFGP,47,0.08919437340153435,0.09057026773284974,25,249,373.2
cell_36,MFGP,48,0.08919437340153435,0.09057026773284974,25,249,362.3
cell_36,MFGP,49,0.46707161125319696,0.47627121844885445,25,249,429.5
cell_36,MFGP,50,0.0,0.0,25,249,218.9
cell_36,MFGP,51,0.46707161125319696,0.47070356761306614,25,249,444.5
cell_36,DKL,42,0.08919437340153435,0.10206303214736623,25,249,704.2
cell_36,DKL,43,0.0,0.0,25,249,713.8
cell_36,DKL,44,0.21547314578005117,0.2260756256272459,25,249,706.4
cell_36,DKL,45,0.30754475703324813,0.32666226920047037,25,249,682.2
cell_36,DKL,46,0.0,0.16766688788889222,25,249,744.3
cell_36,DKL,47,0.08919437340153435,0.09542636537278626,25,249,709.1
cell_36,DKL,48,0.08919437340153435,0.09866376379941064,25,249,707.7
cell_36,DKL,49,0.4619565217391305,0.47268040402732364,25,249,717.3
cell_36,DKL,50,0.0,0.0,25,249,710.7
cell_36,DKL,51,0.40792838874680315,0.4622897039938704,25,249,703.3
cell_36,SparseMFGP,42,0.08919437340153435,0.09040839781151852,25,249,912.4
cell_36,SparseMFGP,43,0.0,0.0,25,249,913.4
cell_36,SparseMFGP,44,0.08919437340153435,0.32176435516418955,25,249,910.5
cell_36,SparseMFGP,45,0.4555626598465474,0.5402745853432181,25,249,913.1
cell_36,SparseMFGP,46,0.24648337595907932,0.4659317772238228,25,249,949.4
cell_36,SparseMFGP,47,0.08919437340153435,0.09040839781151852,25,249,920.5
cell_36,SparseMFGP,48,0.08919437340153435,0.09073213765418095,25,249,906.5
cell_36,SparseMFGP,49,0.21867007672634287,0.44334215524404563,25,249,913.1
cell_36,SparseMFGP,50,0.0,0.0,25,249,904.2
cell_36,SparseMFGP,51,0.15281329923273657,0.3414254804838827,25,249,941.8
cell_36,Progressive,42,0.08919437340153435,0.09057026773284974,25,249,45.4
cell_36,Progressive,43,0.0,0.0,25,249,45.7
cell_36,Progressive,44,0.0,0.03698053244412771,25,249,47.5
cell_36,Progressive,45,0.08919437340153435,0.10750590825212834,25,249,46.8
cell_36,Progressive,46,0.0,0.06359801763302973,25,249,46.6
cell_36,Progressive,47,0.08919437340153435,0.09057026773284974,25,249,46.2
cell_36,Progressive,48,0.08919437340153435,0.09057026773284974,25,249,46.7
cell_36,Progressive,49,0.0,0.08109345829691211,25,249,47.5
cell_36,Progressive,50,0.0,0.0,25,249,46.8
cell_36,Progressive,51,0.08919437340153435,0.18276530480106123,25,249,45.6
cell_36,KnowledgeDistillation,42,0.08919437340153435,0.09057026773284974,25,249,75.4
cell_36,KnowledgeDistillation,43,0.0,0.0,25,249,77.3
cell_36,KnowledgeDistillation,44,0.290920716112532,0.4340407048895506,25,249,76.7
cell_36,KnowledgeDistillation,45,0.38714833759590805,0.46374653328585147,25,249,75.7
cell_36,KnowledgeDistillation,46,0.38714833759590805,0.4728652055208433,25,249,76.6
cell_36,KnowledgeDistillation,47,0.08919437340153435,0.09057026773284974,25,249,79.9
cell_36,KnowledgeDistillation,48,0.08919437340153435,0.09057026773284974,25,249,76.1
cell_36,KnowledgeDistillation,49,0.40377237851662406,0.44060453019953155,25,249,75.4
cell_36,KnowledgeDistillation,50,0.0,0.0,25,249,68.9
cell_36,KnowledgeDistillation,51,0.40792838874680315,0.4686296092460098,25,249,69.1
cell_36,PseudoLabeling,42,0.08919437340153435,0.09057026773284974,25,249,81.1
cell_36,PseudoLabeling,43,0.0,0.0,25,249,80.9
cell_36,PseudoLabeling,44,0.40377237851662406,0.4480606634508508,25,249,79.7
cell_36,PseudoLabeling,45,0.40792838874680315,0.4584284319121153,25,249,79.8
cell_36,PseudoLabeling,46,0.40792838874680315,0.4688285743576461,25,249,80.0
cell_36,PseudoLabeling,47,0.08919437340153435,0.09057026773284974,25,249,80.9
cell_36,PseudoLabeling,48,0.08919437340153435,0.09057026773284974,25,249,80.6
cell_36,PseudoLabeling,49,0.40377237851662406,0.43595076996125903,25,249,80.7
cell_36,PseudoLabeling,50,0.0,0.0,25,249,78.4
cell_36,PseudoLabeling,51,0.40792838874680315,0.4662824953867072,25,249,79.9
