benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_94,MFGP,42,0.08919437340153435,0.09364579623814287,25,249,115.6
cell_94,MFGP,43,0.0,0.0,25,249,76.7
cell_94,MFGP,44,0.36476982097186716,0.3948068082488911,25,249,89.7
cell_94,MFGP,45,0.08919437340153435,0.14607141700929085,25,249,99.7
cell_94,MFGP,46,0.42519181585677746,0.5626901971575641,25,249,87.2
cell_94,MFGP,47,0.08919437340153435,0.09202709702483068,25,249,93.2
cell_94,MFGP,48,0.08919437340153435,0.09218896694616192,25,249,105.9
cell_94,MFGP,49,0.0,0.0193535724691637,25,249,101.5
cell_94,MFGP,50,0.0,0.0,25,249,113.9
cell_94,MFGP,51,0.08919437340153435,0.30763445994798516,25,249,106.2
cell_94,DKL,42,0.0,0.08687356340444799,25,249,542.0
cell_94,DKL,43,0.0,0.0,25,249,493.2
cell_94,DKL,44,0.0,0.017421250283272294,25,249,475.7
cell_94,DKL,45,0.0,0.22054439552375618,25,249,418.6
cell_94,DKL,46,0.08919437340153435,0.1564445811345997,25,249,580.3
cell_94,DKL,47,0.0,0.09116311631972528,25,249,427.1
cell_94,DKL,48,0.0,0.009418806047460213,25,249,611.7
cell_94,DKL,49,0.08919437340153435,0.1949291549310968,25,249,393.5
cell_94,DKL,50,0.0,0.0,25,249,516.4
cell_94,DKL,51,0.08919437340153435,0.18416817745259845,25,249,591.4
cell_94,SparseMFGP,42,0.0,0.08306962025316439,25,249,746.0
cell_94,SparseMFGP,43,0.0,0.0,25,249,643.6
cell_94,SparseMFGP,44,0.08919437340153435,0.26423308729105227,25,249,761.8
cell_94,SparseMFGP,45,0.0,0.16085486203286978,25,249,526.8
cell_94,SparseMFGP,46,0.08919437340153435,0.35567947597310734,25,249,887.2
cell_94,SparseMFGP,47,0.08919437340153435,0.09040839781151852,25,249,507.4
cell_94,SparseMFGP,48,0.0,0.07930614458221356,25,249,885.3
cell_94,SparseMFGP,49,0.0,0.09138568746155559,25,249,505.3
cell_94,SparseMFGP,50,0.0,0.0,25,249,684.7
cell_94,SparseMFGP,51,0.08919437340153435,0.28989621440210583,25,249,519.2
cell_94,Progressive,42,0.0,0.03216152999449622,25,249,26.8
cell_94,Progressive,43,0.0,0.0,25,249,26.6
cell_94,Progressive,44,0.0,0.033176589292844096,25,249,26.7
cell_94,Progressive,45,0.0,0.03011792223768964,25,249,26.3
cell_94,Progressive,46,0.0,0.06145324117539117,25,249,26.5
cell_94,Progressive,47,0.0,0.03001675353685758,25,249,18.9
cell_94,Progressive,48,0.0,0.043451957007348704,25,249,26.3
cell_94,Progressive,49,0.0,0.0193535724691637,25,249,26.5
cell_94,Progressive,50,0.0,0.0,25,249,16.1
cell_94,Progressive,51,0.0,0.04257178931011014,25,249,26.3
cell_94,KnowledgeDistillation,42,0.0,0.07210293308297434,25,249,46.1
cell_94,KnowledgeDistillation,43,0.0,0.0,25,249,42.1
cell_94,KnowledgeDistillation,44,0.0,0.09086972708731239,25,249,33.3
cell_94,KnowledgeDistillation,45,0.0,0.06790105970841802,25,249,27.1
cell_94,KnowledgeDistillation,46,0.0,0.05747393894266541,25,249,45.5
cell_94,KnowledgeDistillation,47,0.0,0.05850585969115201,25,249,47.1
cell_94,KnowledgeDistillation,48,0.0,0.024634578652594604,25,249,28.0
cell_94,KnowledgeDistillation,49,0.0,0.07650714385919448,25,249,28.2
cell_94,KnowledgeDistillation,50,0.0,0.0,25,249,25.8
cell_94,KnowledgeDistillation,51,0.0,0.09548976442530746,25,249,26.6
cell_94,PseudoLabeling,42,0.0,0.034468176373466095,25,249,54.2
cell_94,PseudoLabeling,43,0.0,0.0,25,249,32.0
cell_94,PseudoLabeling,44,0.0,0.07205234873255827,25,249,36.5
cell_94,PseudoLabeling,45,0.0,0.06790105970841802,25,249,54.2
cell_94,PseudoLabeling,46,0.0,0.05747393894266541,25,249,38.7
cell_94,PseudoLabeling,47,0.0,0.043451957007348704,25,249,54.3
cell_94,PseudoLabeling,48,0.0,0.05474238402020118,25,249,54.1
cell_94,PseudoLabeling,49,0.0,0.07650714385919448,25,249,57.5
cell_94,PseudoLabeling,50,0.0,0.0,25,249,54.2
cell_94,PseudoLabeling,51,0.0,0.09548976442530746,25,249,54.4
