benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_42,MFGP,42,0.0,0.019738013532325294,25,249,373.1
cell_42,MFGP,43,0.0,0.0,25,249,328.7
cell_42,MFGP,44,0.0,0.1242958658422087,25,249,375.6
cell_42,MFGP,45,0.0,0.1218981676324901,25,249,338.2
cell_42,MFGP,46,0.0,0.09784699515469326,25,249,485.3
cell_42,MFGP,47,0.0,0.039364741493735464,25,249,435.8
cell_42,MFGP,48,0.0,0.007961976755479253,25,249,448.2
cell_42,MFGP,49,0.0,0.0193535724691637,25,249,370.6
cell_42,MFGP,50,0.0,0.0,25,249,319.1
cell_42,MFGP,51,0.0,0.08724788759752627,25,249,417.4
cell_42,DKL,42,0.0,0.01581266794004328,25,249,658.4
cell_42,DKL,43,0.0,0.0,25,249,671.9
cell_42,DKL,44,0.0,0.04064958399430196,25,249,755.0
cell_42,DKL,45,0.0,0.10131370930320335,25,249,670.9
cell_42,DKL,46,0.0,0.07812584307250649,25,249,652.6
cell_42,DKL,47,0.0,0.04025502606105713,25,249,740.1
cell_42,DKL,48,0.0,0.03094750558451211,25,249,659.1
cell_42,DKL,49,0.0,0.09439377016629379,25,249,774.5
cell_42,DKL,50,0.0,0.0,25,249,655.6
cell_42,DKL,51,0.0,0.04733346282927013,25,249,664.2
cell_42,SparseMFGP,42,0.0,0.0380697821230857,25,249,981.0
cell_42,SparseMFGP,43,0.0,0.0,25,249,1011.5
cell_42,SparseMFGP,44,0.0,0.2560849601260421,25,249,872.4
cell_42,SparseMFGP,45,0.0,0.24831857619217132,25,249,866.7
cell_42,SparseMFGP,46,0.0,0.2800990374135339,25,249,1000.2
cell_42,SparseMFGP,47,0.0,0.060650636148790654,25,249,882.1
cell_42,SparseMFGP,48,0.0,0.049360209135938186,25,249,867.9
cell_42,SparseMFGP,49,0.0,0.17133593943906597,25,249,968.8
cell_42,SparseMFGP,50,0.0,0.0,25,249,1013.6
cell_42,SparseMFGP,51,0.0,0.13789968381408624,25,249,872.7
cell_42,Progressive,42,0.0,0.011725452426430045,25,249,38.2
cell_42,Progressive,43,0.0,0.0,25,249,37.4
cell_42,Progressive,44,0.0,0.041782673443620445,25,249,39.1
cell_42,Progressive,45,0.0,0.04371499562951185,25,249,36.6
cell_42,Progressive,46,0.0,0.0193535724691637,25,249,39.2
cell_42,Progressive,47,0.0,0.026779355110233216,25,249,74.9
cell_42,Progressive,48,0.0,0.01925240376833163,25,249,38.6
cell_42,Progressive,49,0.0,0.0193535724691637,25,249,77.8
cell_42,Progressive,50,0.0,0.0,25,249,37.0
cell_42,Progressive,51,0.0,0.03718961442584716,25,249,37.3
cell_42,KnowledgeDistillation,42,0.0,0.007961976755479253,25,249,135.0
cell_42,KnowledgeDistillation,43,0.0,0.0,25,249,64.2
cell_42,KnowledgeDistillation,44,0.0,0.034255722101718865,25,249,62.6
cell_42,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,70.6
cell_42,KnowledgeDistillation,46,0.0,0.0193535724691637,25,249,62.9
cell_42,KnowledgeDistillation,47,0.0,0.01925240376833163,25,249,130.9
cell_42,KnowledgeDistillation,48,0.0,0.01925240376833163,25,249,62.3
cell_42,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,125.9
cell_42,KnowledgeDistillation,50,0.0,0.0,25,249,88.5
cell_42,KnowledgeDistillation,51,0.0,0.03342613875489637,25,249,62.2
cell_42,PseudoLabeling,42,0.0,0.011725452426430045,25,249,72.1
cell_42,PseudoLabeling,43,0.0,0.0,25,249,135.0
cell_42,PseudoLabeling,44,0.0,0.034255722101718865,25,249,72.0
cell_42,PseudoLabeling,45,0.0,0.0193535724691637,25,249,72.5
cell_42,PseudoLabeling,46,0.0,0.0193535724691637,25,249,76.6
cell_42,PseudoLabeling,47,0.0,0.01925240376833163,25,249,72.9
cell_42,PseudoLabeling,48,0.0,0.015488928097380835,25,249,71.3
cell_42,PseudoLabeling,49,0.0,0.0193535724691637,25,249,72.0
cell_42,PseudoLabeling,50,0.0,0.0,25,249,104.1
cell_42,PseudoLabeling,51,0.0,0.0165916669364498,25,249,72.7
