benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_110,MFGP,42,0.0,0.06441411181974149,25,249,187.5
cell_110,MFGP,43,0.0,0.0,25,249,167.4
cell_110,MFGP,44,0.0,0.17645844799119353,25,249,170.0
cell_110,MFGP,45,0.0,0.10890810644565982,25,249,176.8
cell_110,MFGP,46,0.0,0.054223051355930064,25,249,166.2
cell_110,MFGP,47,0.0,0.01925240376833163,25,249,195.9
cell_110,MFGP,48,0.0,0.06441411181974149,25,249,187.3
cell_110,MFGP,49,0.0,0.0193535724691637,25,249,187.3
cell_110,MFGP,50,0.0,0.0,25,249,168.9
cell_110,MFGP,51,0.0,0.13017039507052086,25,249,161.0
cell_110,DKL,42,0.0,0.016945757389361795,25,249,661.0
cell_110,DKL,43,0.0,0.0,25,249,658.6
cell_110,DKL,44,0.0,0.05374755846201962,25,249,658.6
cell_110,DKL,45,0.0,0.09947918352811617,25,249,669.1
cell_110,DKL,46,0.0,0.0709630990536001,25,249,653.0
cell_110,DKL,47,0.0,0.036855757713101546,25,249,670.0
cell_110,DKL,48,0.0,0.035237058499789364,25,249,629.8
cell_110,DKL,49,0.0,0.07680390538163488,25,249,662.7
cell_110,DKL,50,0.0,0.0,25,249,656.9
cell_110,DKL,51,0.0,0.06083611210031584,25,249,660.8
cell_110,SparseMFGP,42,0.0,0.019090533847000407,25,249,880.3
cell_110,SparseMFGP,43,0.0,0.0,25,249,879.3
cell_110,SparseMFGP,44,0.0,0.1971238412811457,25,249,892.5
cell_110,SparseMFGP,45,0.0,0.09614736098071534,25,249,881.8
cell_110,SparseMFGP,46,0.0,0.12112928550616663,25,249,881.3
cell_110,SparseMFGP,47,0.0,0.019090533847000407,25,249,892.2
cell_110,SparseMFGP,48,0.0,0.022854009517951204,25,249,872.4
cell_110,SparseMFGP,49,0.0,0.0193535724691637,25,249,884.3
cell_110,SparseMFGP,50,0.0,0.0,25,249,875.3
cell_110,SparseMFGP,51,0.0,0.11102927687310417,25,249,845.5
cell_110,Progressive,42,0.0,0.004036631163197239,25,249,38.9
cell_110,Progressive,43,0.0,0.0,25,249,38.9
cell_110,Progressive,44,0.0,0.017421250283272294,25,249,40.6
cell_110,Progressive,45,0.0,0.024735747353426672,25,249,39.0
cell_110,Progressive,46,0.0,0.023278918061445716,25,249,38.1
cell_110,Progressive,47,0.0,0.004036631163197239,25,249,39.0
cell_110,Progressive,48,0.0,0.004036631163197239,25,249,41.6
cell_110,Progressive,49,0.0,0.0193535724691637,25,249,38.3
cell_110,Progressive,50,0.0,0.0,25,249,38.2
cell_110,Progressive,51,0.0,0.021973841820712773,25,249,39.3
cell_110,KnowledgeDistillation,42,0.0,0.007961976755479253,25,249,65.1
cell_110,KnowledgeDistillation,43,0.0,0.0,25,249,64.9
cell_110,KnowledgeDistillation,44,0.0,0.017421250283272294,25,249,63.9
cell_110,KnowledgeDistillation,45,0.0,0.024735747353426672,25,249,66.1
cell_110,KnowledgeDistillation,46,0.0,0.023278918061445716,25,249,66.0
cell_110,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,65.5
cell_110,KnowledgeDistillation,48,0.0,0.004036631163197239,25,249,65.7
cell_110,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,66.2
cell_110,KnowledgeDistillation,50,0.0,0.0,25,249,62.0
cell_110,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,62.3
cell_110,PseudoLabeling,42,0.0,0.007961976755479253,25,249,73.3
cell_110,PseudoLabeling,43,0.0,0.0,25,249,74.3
cell_110,PseudoLabeling,44,0.0,0.017421250283272294,25,249,73.1
cell_110,PseudoLabeling,45,0.0,0.024735747353426672,25,249,73.0
cell_110,PseudoLabeling,46,0.0,0.023278918061445716,25,249,73.6
cell_110,PseudoLabeling,47,0.0,0.004036631163197239,25,249,73.9
cell_110,PseudoLabeling,48,0.0,0.004036631163197239,25,249,73.5
cell_110,PseudoLabeling,49,0.0,0.0193535724691637,25,249,73.7
cell_110,PseudoLabeling,50,0.0,0.0,25,249,72.1
cell_110,PseudoLabeling,51,0.0,0.0165916669364498,25,249,64.8
