benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_91,MFGP,42,0.0,0.011725452426430045,25,249,561.7
cell_91,MFGP,43,0.0,0.0,25,249,600.7
cell_91,MFGP,44,0.0,0.07245702353588612,25,249,686.6
cell_91,MFGP,45,0.0,0.09176338394466155,25,249,530.1
cell_91,MFGP,46,0.0,0.13384956349077798,25,249,531.4
cell_91,MFGP,47,0.0,0.011725452426430045,25,249,597.8
cell_91,MFGP,48,0.0,0.0380697821230857,25,249,600.9
cell_91,MFGP,49,0.0,0.0193535724691637,25,249,639.4
cell_91,MFGP,50,0.0,0.0,25,249,559.4
cell_91,MFGP,51,0.0,0.0508541336182241,25,249,617.6
cell_91,DKL,42,0.0,0.004036631163197239,25,249,811.2
cell_91,DKL,43,0.0,0.0,25,249,788.9
cell_91,DKL,44,0.0,0.04064958399430196,25,249,786.2
cell_91,DKL,45,0.0,0.023117048140114494,25,249,793.1
cell_91,DKL,46,0.0,0.042500971219527756,25,249,780.8
cell_91,DKL,47,0.0,0.009418806047460213,25,249,795.1
cell_91,DKL,48,0.0,0.004036631163197239,25,249,765.5
cell_91,DKL,49,0.0,0.0193535724691637,25,249,766.6
cell_91,DKL,50,0.0,0.0,25,249,791.7
cell_91,DKL,51,0.0,0.03871388951838282,25,249,766.0
cell_91,SparseMFGP,42,0.0,0.011725452426430045,25,249,991.8
cell_91,SparseMFGP,43,0.0,0.0,25,249,1009.2
cell_91,SparseMFGP,44,0.0,0.23852207366160477,25,249,1039.8
cell_91,SparseMFGP,45,0.0,0.13827400800716458,25,249,1068.3
cell_91,SparseMFGP,46,0.0,0.21706419221513504,25,249,1025.2
cell_91,SparseMFGP,47,0.0,0.011725452426430045,25,249,1026.1
cell_91,SparseMFGP,48,0.0,0.007961976755479253,25,249,1058.2
cell_91,SparseMFGP,49,0.0,0.027204263653727728,25,249,1021.5
cell_91,SparseMFGP,50,0.0,0.0,25,249,1031.2
cell_91,SparseMFGP,51,0.0,0.13490509026945863,25,249,1125.1
cell_91,Progressive,42,0.0,0.004036631163197239,25,249,52.5
cell_91,Progressive,43,0.0,0.0,25,249,51.5
cell_91,Progressive,44,0.0,0.022803425167535262,25,249,52.6
cell_91,Progressive,45,0.0,0.024735747353426672,25,249,50.8
cell_91,Progressive,46,0.0,0.024735747353426672,25,249,50.7
cell_91,Progressive,47,0.0,0.004036631163197239,25,249,51.8
cell_91,Progressive,48,0.0,0.007961976755479253,25,249,53.5
cell_91,Progressive,49,0.0,0.0193535724691637,25,249,52.2
cell_91,Progressive,50,0.0,0.0,25,249,51.6
cell_91,Progressive,51,0.0,0.0165916669364498,25,249,50.4
cell_91,KnowledgeDistillation,42,0.0,0.004036631163197239,25,249,82.3
cell_91,KnowledgeDistillation,43,0.0,0.0,25,249,89.2
cell_91,KnowledgeDistillation,44,0.0,0.022803425167535262,25,249,90.5
cell_91,KnowledgeDistillation,45,0.0,0.0193535724691637,25,249,87.6
cell_91,KnowledgeDistillation,46,0.0,0.0193535724691637,25,249,87.6
cell_91,KnowledgeDistillation,47,0.0,0.004036631163197239,25,249,90.0
cell_91,KnowledgeDistillation,48,0.0,0.007961976755479253,25,249,88.4
cell_91,KnowledgeDistillation,49,0.0,0.0193535724691637,25,249,88.5
cell_91,KnowledgeDistillation,50,0.0,0.0,25,249,82.6
cell_91,KnowledgeDistillation,51,0.0,0.0165916669364498,25,249,82.9
cell_91,PseudoLabeling,42,0.0,0.004036631163197239,25,249,97.4
cell_91,PseudoLabeling,43,0.0,0.0,25,249,97.6
cell_91,PseudoLabeling,44,0.0,0.022803425167535262,25,249,97.3
cell_91,PseudoLabeling,45,0.0,0.0193535724691637,25,249,97.8
cell_91,PseudoLabeling,46,0.0,0.0193535724691637,25,249,95.5
cell_91,PseudoLabeling,47,0.0,0.004036631163197239,25,249,97.0
cell_91,PseudoLabeling,48,0.0,0.007961976755479253,25,249,98.1
cell_91,PseudoLabeling,49,0.0,0.0193535724691637,25,249,98.0
cell_91,PseudoLabeling,50,0.0,0.0,25,249,95.2
cell_91,PseudoLabeling,51,0.0,0.0165916669364498,25,249,90.3
