benchmark,model,seed,final_regret,auc,n_hf,n_lf,elapsed
cell_86,MFGP,42,0.08919437340153435,0.09073213765418095,25,249,290.2
cell_86,MFGP,43,0.0,0.0,25,249,158.3
cell_86,MFGP,44,0.15281329923273657,0.3367784648256658,25,249,290.0
cell_86,MFGP,45,0.3721227621483376,0.4172406304293868,25,249,238.7
cell_86,MFGP,46,0.15281329923273657,0.3889848867450112,25,249,255.8
cell_86,MFGP,47,0.08919437340153435,0.09057026773284974,25,249,292.5
cell_86,MFGP,48,0.08919437340153435,0.09057026773284974,25,249,263.9
cell_86,MFGP,49,0.3721227621483376,0.40607160585753277,25,249,337.7
cell_86,MFGP,50,0.0,0.0,25,249,187.6
cell_86,MFGP,51,0.15281329923273657,0.34818354969946114,25,249,289.8
cell_86,DKL,42,0.08919437340153435,0.10675725986597158,25,249,706.5
cell_86,DKL,43,0.0,0.0,25,249,711.8
cell_86,DKL,44,0.15281329923273657,0.3635814259660935,25,249,713.8
cell_86,DKL,45,0.0,0.04549556476415527,25,249,716.6
cell_86,DKL,46,0.15281329923273657,0.18010524242718537,25,249,711.2
cell_86,DKL,47,0.08919437340153435,0.10530043057399063,25,249,715.6
cell_86,DKL,48,0.08919437340153435,0.10999465829259597,25,249,709.3
cell_86,DKL,49,0.0,0.08851249635792624,25,249,721.2
cell_86,DKL,50,0.0,0.0,25,249,708.6
cell_86,DKL,51,0.15281329923273657,0.19072458372451875,25,249,717.7
cell_86,SparseMFGP,42,0.08919437340153435,0.09040839781151852,25,249,963.1
cell_86,SparseMFGP,43,0.0,0.0,25,249,952.2
cell_86,SparseMFGP,44,0.08919437340153435,0.3365080071654413,25,249,960.9
cell_86,SparseMFGP,45,0.21483375959079287,0.3714395361887184,25,249,965.0
cell_86,SparseMFGP,46,0.24648337595907932,0.43821155319585153,25,249,964.6
cell_86,SparseMFGP,47,0.08919437340153435,0.09040839781151852,25,249,958.6
cell_86,SparseMFGP,48,0.0,0.08715683576677764,25,249,953.4
cell_86,SparseMFGP,49,0.0,0.17400679314103148,25,249,950.0
cell_86,SparseMFGP,50,0.0,0.0,25,249,977.9
cell_86,SparseMFGP,51,0.15281329923273657,0.28780606904291667,25,249,953.8
cell_86,Progressive,42,0.08919437340153435,0.09542636537278626,25,249,47.1
cell_86,Progressive,43,0.0,0.0,25,249,46.2
cell_86,Progressive,44,0.0,0.08189943561354067,25,249,45.2
cell_86,Progressive,45,0.0,0.06448830220035147,25,249,46.1
cell_86,Progressive,46,0.0,0.1547577616627277,25,249,45.1
cell_86,Progressive,47,0.08919437340153435,0.09057026773284974,25,249,45.8
cell_86,Progressive,48,0.0,0.06833945741202352,25,249,48.4
cell_86,Progressive,49,0.0,0.13541430606364707,25,249,45.9
cell_86,Progressive,50,0.0,0.0,25,249,46.2
cell_86,Progressive,51,0.0,0.11330894493185255,25,249,45.6
cell_86,KnowledgeDistillation,42,0.09303069053708435,0.09849380038201293,25,249,76.3
cell_86,KnowledgeDistillation,43,0.0,0.0,25,249,75.8
cell_86,KnowledgeDistillation,44,0.0,0.09501089924136927,25,249,75.4
cell_86,KnowledgeDistillation,45,0.15281329923273657,0.16733100780213014,25,249,77.5
cell_86,KnowledgeDistillation,46,0.15281329923273657,0.16733100780213014,25,249,76.2
cell_86,KnowledgeDistillation,47,0.08919437340153435,0.09121774741817462,25,249,76.7
cell_86,KnowledgeDistillation,48,0.09303069053708435,0.09412331250607006,25,249,77.1
cell_86,KnowledgeDistillation,49,0.0,0.11607085046456644,25,249,77.0
cell_86,KnowledgeDistillation,50,0.0,0.0,25,249,69.6
cell_86,KnowledgeDistillation,51,0.15281329923273657,0.16456910226941623,25,249,70.8
cell_86,PseudoLabeling,42,0.1275575447570333,0.12755754475703326,25,249,83.1
cell_86,PseudoLabeling,43,0.0,0.0,25,249,84.1
cell_86,PseudoLabeling,44,0.15281329923273657,0.1785101492440673,25,249,84.8
cell_86,PseudoLabeling,45,0.15281329923273657,0.16733100780213014,25,249,82.5
cell_86,PseudoLabeling,46,0.15281329923273657,0.16733100780213014,25,249,82.9
cell_86,PseudoLabeling,47,0.08919437340153435,0.09121774741817462,25,249,83.7
cell_86,PseudoLabeling,48,0.09303069053708435,0.09412331250607006,25,249,82.8
cell_86,PseudoLabeling,49,0.15281329923273657,0.16733100780213014,25,249,82.6
cell_86,PseudoLabeling,50,0.0,0.0,25,249,79.8
cell_86,PseudoLabeling,51,0.15281329923273657,0.16456910226941623,25,249,80.0
