benchmark,model,acq,mean
HOPV15,Knowledge Distillation,greedy,1.886
HOPV15,Knowledge Distillation,ei,2.529
HOPV15,Knowledge Distillation,pi,2.3559999999999994
HOPV15,Knowledge Distillation,ucb,2.526
HOPV15,Knowledge Distillation,mes,2.701999999999999
HOPV15,Knowledge Distillation,ts,1.9649999999999999
HOPV15,Progressive,greedy,2.9699999999999998
HOPV15,Progressive,ei,3.0119999999999996
HOPV15,Progressive,pi,2.9779999999999993
HOPV15,Progressive,ucb,2.8364999999999996
HOPV15,Progressive,mes,2.8624999999999994
HOPV15,Progressive,ts,1.9904999999999997
HOPV15,Pseudo-Labeling,greedy,2.2235
HOPV15,Pseudo-Labeling,ei,2.742
HOPV15,Pseudo-Labeling,pi,2.4504999999999995
HOPV15,Pseudo-Labeling,ucb,2.5774999999999997
HOPV15,Pseudo-Labeling,mes,2.9485
HOPV15,Pseudo-Labeling,ts,2.62
HOPV15,Sequential,greedy,2.3725
HOPV15,Sequential,ei,2.8095000000000003
HOPV15,Sequential,pi,2.3935
HOPV15,Sequential,ucb,2.7479999999999998
HOPV15,Sequential,mes,2.7355
HOPV15,Sequential,ts,2.2965
HOPV15,Soft Parameter Sharing,greedy,2.071
HOPV15,Soft Parameter Sharing,ei,2.2870000000000004
HOPV15,Soft Parameter Sharing,pi,2.5255
HOPV15,Soft Parameter Sharing,ucb,2.5915
HOPV15,Soft Parameter Sharing,mes,2.3520000000000008
HOPV15,Soft Parameter Sharing,ts,2.441
HOPV15,Two-Stage Joint,greedy,2.312
HOPV15,Two-Stage Joint,ei,2.3405
HOPV15,Two-Stage Joint,pi,2.761
HOPV15,Two-Stage Joint,ucb,2.4234999999999998
HOPV15,Two-Stage Joint,mes,2.234
HOPV15,Two-Stage Joint,ts,2.1895000000000002
Matbench-Gap,Adapter,greedy,0.3724999999999999
Matbench-Gap,Adapter,ei,0.5189999999999999
Matbench-Gap,Adapter,pi,0.376
Matbench-Gap,Adapter,ucb,0.5264999999999999
Matbench-Gap,Adapter,mes,0.634
Matbench-Gap,Adapter,ts,0.6610000000000001
Matbench-Gap,Curriculum,greedy,0.39
Matbench-Gap,Curriculum,ei,0.24899999999999994
Matbench-Gap,Curriculum,pi,0.365
Matbench-Gap,Curriculum,ucb,0.4539999999999999
Matbench-Gap,Curriculum,mes,0.30199999999999994
Matbench-Gap,Curriculum,ts,0.3935
Matbench-Gap,DNGO-Gradient,greedy,0.47699999999999976
Matbench-Gap,DNGO-Gradient,ei,0.5335
Matbench-Gap,DNGO-Gradient,pi,0.3254999999999999
Matbench-Gap,DNGO-Gradient,ucb,0.3675
Matbench-Gap,DNGO-Gradient,mes,0.3754999999999999
Matbench-Gap,DNGO-Gradient,ts,0.316
Matbench-Gap,DNGO-Joint,greedy,0.39749999999999996
Matbench-Gap,DNGO-Joint,ei,0.5245000000000001
Matbench-Gap,DNGO-Joint,pi,0.396
Matbench-Gap,DNGO-Joint,ucb,0.5605
Matbench-Gap,DNGO-Joint,mes,0.5205000000000001
Matbench-Gap,DNGO-Joint,ts,0.47699999999999976
Matbench-Gap,Domain Adaptation (MMD),greedy,0.4795
Matbench-Gap,Domain Adaptation (MMD),ei,0.26450000000000007
Matbench-Gap,Domain Adaptation (MMD),pi,0.355
Matbench-Gap,Domain Adaptation (MMD),ucb,0.31849999999999995
Matbench-Gap,Domain Adaptation (MMD),mes,0.321
Matbench-Gap,Domain Adaptation (MMD),ts,0.27849999999999997
Matbench-Gap,Knowledge Distillation,greedy,0.314
Matbench-Gap,Knowledge Distillation,ei,0.196
Matbench-Gap,Knowledge Distillation,pi,0.1765
Matbench-Gap,Knowledge Distillation,ucb,0.328
Matbench-Gap,Knowledge Distillation,mes,0.25149999999999995
Matbench-Gap,Knowledge Distillation,ts,0.295
Matbench-Gap,Progressive,greedy,0.22949999999999995
Matbench-Gap,Progressive,ei,0.25349999999999995
Matbench-Gap,Progressive,pi,0.3199999999999999
Matbench-Gap,Progressive,ucb,0.20899999999999994
Matbench-Gap,Progressive,mes,0.24799999999999994
Matbench-Gap,Progressive,ts,0.21750000000000003
Matbench-Gap,Pseudo-Labeling,greedy,0.42800000000000005
Matbench-Gap,Pseudo-Labeling,ei,0.25849999999999984
Matbench-Gap,Pseudo-Labeling,pi,0.29949999999999993
Matbench-Gap,Pseudo-Labeling,ucb,0.2645
Matbench-Gap,Pseudo-Labeling,mes,0.267
Matbench-Gap,Pseudo-Labeling,ts,0.24599999999999994
Matbench-Gap,Sequential,greedy,0.491
Matbench-Gap,Sequential,ei,0.5740000000000001
Matbench-Gap,Sequential,pi,0.6129999999999999
Matbench-Gap,Sequential,ucb,0.5910000000000001
Matbench-Gap,Sequential,mes,0.5845
Matbench-Gap,Sequential,ts,0.5039999999999998
Matbench-Gap,Soft Parameter Sharing,greedy,0.497
Matbench-Gap,Soft Parameter Sharing,ei,0.53
Matbench-Gap,Soft Parameter Sharing,pi,0.43149999999999994
Matbench-Gap,Soft Parameter Sharing,ucb,0.37799999999999995
Matbench-Gap,Soft Parameter Sharing,mes,0.43900000000000006
Matbench-Gap,Soft Parameter Sharing,ts,0.4574999999999999
Matbench-Gap,Two-Stage Joint,greedy,0.48749999999999993
Matbench-Gap,Two-Stage Joint,ei,0.5105000000000001
Matbench-Gap,Two-Stage Joint,pi,0.35299999999999987
Matbench-Gap,Two-Stage Joint,ucb,0.43249999999999983
Matbench-Gap,Two-Stage Joint,mes,0.368
Matbench-Gap,Two-Stage Joint,ts,0.323
