benchmark,model,acq,mean
Branin-Unfav,Domain Adaptation (MMD),ts,0.9323803450874735
Branin-Unfav,Knowledge Distillation,greedy,1.4524255488174151
Branin-Unfav,Knowledge Distillation,ei,0.8878930296199355
Branin-Unfav,Knowledge Distillation,pi,1.3298902183766923
Branin-Unfav,Knowledge Distillation,ucb,0.5082874388945546
Branin-Unfav,Knowledge Distillation,mes,0.3882349572470636
Branin-Unfav,Knowledge Distillation,ts,0.799526744168989
Branin-Unfav,Progressive,greedy,2.263370449681138
Branin-Unfav,Progressive,ei,2.71662505941069
Branin-Unfav,Progressive,pi,2.7702401935286036
Branin-Unfav,Progressive,ucb,2.637698186198718
Branin-Unfav,Progressive,mes,2.1780922712308
Branin-Unfav,Progressive,ts,3.4489732783766143
Branin-Unfav,Pseudo-Labeling,greedy,0.9481148716413106
Branin-Unfav,Pseudo-Labeling,ei,0.9272364742291652
Branin-Unfav,Pseudo-Labeling,pi,1.1490240559765965
Branin-Unfav,Pseudo-Labeling,ucb,0.5220086765956289
Branin-Unfav,Pseudo-Labeling,mes,0.24944433954842507
Branin-Unfav,Pseudo-Labeling,ts,0.4919388567956683
Branin-Unfav,Sequential,greedy,1.3831189855909787
Branin-Unfav,Sequential,ei,1.6226022600529522
Branin-Unfav,Sequential,pi,2.327760913173267
Branin-Unfav,Sequential,ucb,1.6663965081601362
Branin-Unfav,Sequential,mes,0.9590698485541654
Branin-Unfav,Sequential,ts,1.8439639559531522
Branin-Unfav,Soft Parameter Sharing,greedy,0.9585855710348961
Branin-Unfav,Soft Parameter Sharing,ei,1.1557159054148414
Branin-Unfav,Soft Parameter Sharing,pi,1.1988434804572128
Branin-Unfav,Soft Parameter Sharing,ucb,1.150252698999448
Branin-Unfav,Soft Parameter Sharing,mes,1.2054212076586763
Branin-Unfav,Soft Parameter Sharing,ts,1.1635728474328473
Branin-Unfav,Two-Stage Joint,greedy,1.77277935087715
Branin-Unfav,Two-Stage Joint,ei,2.0488296800833874
Branin-Unfav,Two-Stage Joint,pi,2.3669383221233073
Branin-Unfav,Two-Stage Joint,ucb,1.7989769229846626
Branin-Unfav,Two-Stage Joint,mes,2.167776692488975
Branin-Unfav,Two-Stage Joint,ts,3.158067602704254
Park-Fav,Adapter,greedy,1.0873127313836177e-07
Park-Fav,Adapter,ei,1.0873127313836177e-07
Park-Fav,Adapter,pi,1.0873127313836177e-07
Park-Fav,Adapter,ucb,1.0873127313836177e-07
