benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
Matbench-Gap,DKL Multi-Fidelity,43,0.1500000000000001,10,199,0.1500000000000001,846.737,0
Matbench-Gap,DKL Multi-Fidelity,44,0.2000000000000001,10,199,0.2000000000000001,843.965,0
Matbench-Gap,DKL Multi-Fidelity,45,0.3500000000000001,10,199,0.3500000000000001,833.057,0
Matbench-Gap,DKL Multi-Fidelity,46,0.54,10,199,0.54,831.084,0
Matbench-Gap,DKL Multi-Fidelity,47,0.0,10,199,0.0,830.599,0
Matbench-Gap,DKL Multi-Fidelity,48,1.4,10,199,1.4,829.034,0
Matbench-Gap,DKL Multi-Fidelity,49,0.7800000000000002,10,199,0.7800000000000002,828.362,0
Matbench-Gap,DKL Multi-Fidelity,50,1.4,10,199,1.4,828.485,0
Matbench-Gap,DKL Multi-Fidelity,51,0.8999999999999999,10,199,0.8999999999999999,829.024,0
Matbench-Gap,DKL Multi-Fidelity,52,0.0999999999999998,10,199,0.0999999999999998,829.08,0
Matbench-Gap,DKL Multi-Fidelity,53,0.0399999999999998,10,199,0.0399999999999998,830.375,0
Matbench-Gap,DKL Multi-Fidelity,54,0.54,10,199,0.54,829.084,0
Matbench-Gap,DKL Multi-Fidelity,55,0.4000000000000001,10,199,0.4000000000000001,828.086,0
Matbench-Gap,DKL Multi-Fidelity,56,0.94,10,199,0.94,828.208,0
Matbench-Gap,DKL Multi-Fidelity,57,0.6000000000000001,10,199,0.6000000000000001,828.808,0
Matbench-Gap,DKL Multi-Fidelity,58,0.1,10,199,0.1,829.538,0
Matbench-Gap,DKL Multi-Fidelity,59,1.4,10,199,1.4,830.124,0
Matbench-Gap,DKL Multi-Fidelity,60,0.7800000000000002,10,199,0.7800000000000002,867.298,0
Matbench-Gap,DKL Multi-Fidelity,61,0.8499999999999999,10,199,0.8499999999999999,868.175,0
Matbench-Gap,Sparse MFGP,42,0.1,10,199,0.1,1371.215,0
Matbench-Gap,Sparse MFGP,43,0.1500000000000001,10,199,0.1500000000000001,1378.413,0
Matbench-Gap,Sparse MFGP,44,0.0899999999999998,10,199,0.0899999999999998,1378.866,0
