benchmark,n_candidates,cost_ratio,spearman_rho,spearman_p,kendall_tau,kendall_p,R2,top1%_overlap,top5%_overlap,top10%_overlap,top20%_overlap,topk5_overlap,topk10_overlap,topk20_overlap,topk50_overlap,top1%_tau,top5%_tau,top10%_tau,top20%_tau,screening_regret,top1_hit,hf_best_idx,lf_best_idx,hf_best_val,lf_rank_of_hf_best
Branin-Fav,2500,0.1,0.9874251860840298,0.0,0.912950780312125,0.0,0.951604970171145,0.6,0.744,0.88,0.918,0.2,0.6,0.55,0.62,-0.0184873949579831,0.2191736077086395,0.4429083461341526,0.6790990620935168,3.3551091224877183,0,447,147,0.4044926977871608,139
Branin-Unfav,2500,0.5,0.8131994053759051,0.0,0.6495532613045218,0.0,-0.5964126403928363,0.36,0.552,0.644,0.694,0.0,0.1,0.2,0.42,-0.3048780487804878,0.021853898096992,0.1398649002461119,0.2584015257565366,0.9968793119946202,0,447,1856,0.4044926977871608,1380
Park-Fav,256,0.1,0.9872210460059508,1.2788090393659126e-204,0.9175857843137256,4.7519393783760315e-106,0.6400286745331989,1.0,1.0,1.0,0.9215686274509804,1.0,1.0,1.0,0.92,1.0,0.9999999999999998,0.9999999999999998,0.9151515151515152,0.0,1,0,0,1.087312731383618e-07,1
Park-Unfav,256,0.5,0.8791421566398175,9.915577001358032e-84,0.7152236024965185,4.72819486350992e-65,-0.3403661683760806,0.5,0.9166666666666666,0.92,0.7647058823529411,0.6,0.9,0.9,0.76,0.3333333333333333,0.579147939141922,0.8230633312210484,0.6846619880803444,0.0,1,0,0,1.087312731383618e-07,1
COFs,608,0.065,0.998447697098794,0.0,0.9734674412555278,2.865412051624834e-282,0.929824729043178,0.8333333333333334,0.9,0.9333333333333332,0.9834710743801652,0.8,0.8,0.85,0.92,0.2380952380952381,0.6553030303030303,0.7698412698412699,0.8485938957750232,4.516970590908455,0,375,523,-18.53448594783226,2
FreeSolv,640,0.1,0.940449490437634,3.591298547061765e-301,0.7965170686593126,2.19761308432929e-199,0.8333376990761059,0.6666666666666666,0.8125,0.921875,0.8359375,0.8,0.6,0.65,0.88,0.2857142857142857,0.2846997090005763,0.5762020090759203,0.6244499784217972,0.27,0,515,261,-3.43,4
Polarizability,1134,0.167,0.9914799349918096,0.0,0.9299141624703352,0.0,0.95584923802136,1.0,0.9642857142857144,0.9203539823008848,0.9292035398230089,1.0,1.0,0.95,0.94,0.8545454545454545,0.9049638461861343,0.8601085798382675,0.8311969660180806,0.0891943734015343,0,1133,1132,-1.0,2
HOPV15,240,0.1,0.11748469988785139,0.06923857793831567,0.08099054457653376,0.06212221217199381,-1.2995949683172214,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.05,0.16,-0.3333333333333334,-0.44363929679843556,-0.43356291389464285,-0.38167622965740666,3.8999999999999995,0,174,97,-10.2,13
Matbench-Gap,3347,0.05,0.5748526696706288,9.906397310512035e-294,0.49671902253087763,5.87049229252635e-259,0.4305185060274017,0.030303030303030304,0.15568862275449102,0.32934131736526945,0.6352765321375187,0.0,0.0,0.05,0.04,-0.5481049147778186,-0.4102673314489333,-0.29698358354092963,-0.10190225880137971,0.91,0,12,656,0.0,973
