benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
HOPV15,MFGP,45,2.799999999999999,15,149,-7.4,96.21,2.6272689218310967,3.0016502727683827,0.125,1.4545688869605928,2.113186456784083,76
HOPV15,MFGP,43,2.4099999999999993,15,149,-7.79,114.005,2.3230583918201733,2.445418387639392,0.0557894736842105,1.7526430204768995,2.1439250592891455,76
HOPV15,MFGP,46,2.999999999999999,15,149,-7.2,114.912,2.20005186123008,2.384566943697863,0.042105263157894736,1.6517791340136505,2.050937154417819,76
HOPV15,MFGP,47,2.999999999999999,15,149,-7.2,121.458,2.3166398798006584,2.5672573152489178,0.06842105263157895,1.5777133296982686,2.258036481605299,76
HOPV15,MFGP,42,2.999999999999999,15,149,-7.2,140.848,2.0392040796705624,2.2039391170298614,0.03815789473684208,1.6342909486834851,2.5678765698110886,76
HOPV15,MFGP,44,3.879999999999999,15,149,-6.32,150.97,2.026047746890573,2.2132147575332675,0.11499999999999996,1.5745909584014295,2.140320325750138,76
HOPV15,MFGP,48,4.029999999999999,15,149,-6.17,103.095,2.094321962296163,2.2935860168610755,0.09210526315789472,1.4815374199609372,2.3834646750652815,76
HOPV15,Sequential,42,1.5999999999999996,15,149,-8.6,68.947,1.687441312185782,2.0855708083619087,0.12289473684210528,2.5985872889967783,3.354769815527346,76
HOPV15,Sequential,43,1.5999999999999996,15,149,-8.6,65.865,2.0364446753208925,2.150589761593194,0.04947368421052633,2.398938774089928,3.2112242577808305,76
HOPV15,MFGP,49,2.799999999999999,15,149,-7.4,110.123,2.404773688303067,2.6388239027419225,0.11710526315789471,1.4486640488448719,2.4987725376776466,76
HOPV15,MFGP,50,3.789999999999999,15,149,-6.41,121.467,1.8134102763897075,2.005580914866987,0.048157894736842094,1.676381344978904,2.3592454304530976,76
HOPV15,MFGP,51,2.799999999999999,15,149,-7.4,115.445,2.3229940227107746,2.486982704479194,0.08815789473684209,1.5938194231047995,2.016693940770037,76
HOPV15,Sequential,45,1.5999999999999996,15,149,-8.6,78.04,1.5870477306254882,2.059217149111977,0.1473684210526316,2.5864094468347303,3.4602594235302555,76
HOPV15,Sequential,44,1.5999999999999996,15,149,-8.6,88.061,1.7969902396761952,2.120238482333388,0.10605263157894737,2.625603873389012,3.310961798387282,76
HOPV15,Sequential,46,2.999999999999999,15,149,-7.2,88.153,1.8561288094680466,2.1096498210935755,0.11973684210526314,2.5041065485911425,3.21183940342582,76
HOPV15,Sequential,47,1.5999999999999996,15,149,-8.6,94.84,1.792169816829384,2.1069090915699373,0.10342105263157897,2.5769465437359345,3.709049595712738,76
HOPV15,Sequential,49,1.5999999999999996,15,149,-8.6,87.9,1.6398614894594494,2.0796120310635526,0.1297368421052632,2.6181543543459314,3.404682836762856,76
HOPV15,Sequential,48,2.8999999999999995,15,149,-7.3,95.945,1.8024684672091795,2.1197424146595445,0.11236842105263159,2.6224200581350523,4.308209471136896,76
HOPV15,Sequential,50,3.2799999999999994,15,149,-6.92,82.559,1.6720651071255326,2.0632029756597445,0.1192105263157895,2.508786639996252,2.81396982655821,76
HOPV15,Sequential,51,2.4099999999999993,15,149,-7.79,90.372,1.8525551297340677,2.1196376280718106,0.08815789473684213,2.5569545447154525,3.9077404726282876,76
HOPV15,Progressive,42,2.999999999999999,15,149,-7.2,83.486,1.7655105349331914,2.0820176374852637,0.09210526315789477,2.476443317513782,2.5389902307184538,76
HOPV15,Progressive,44,3.1999999999999993,15,149,-7.0,68.1,1.7299785260474347,2.0755718097590856,0.1078947368421053,2.4918131779141923,2.6048854747226655,76
HOPV15,Progressive,43,3.3899999999999997,15,149,-6.81,88.212,1.7228146258400239,2.088448262919383,0.11842105263157895,2.5647518717681916,2.4390761638364555,76
HOPV15,Progressive,45,3.5999999999999996,15,149,-6.6,80.88,1.7053901280265724,2.0858211043158277,0.1092105263157895,2.5812063110634424,2.344633656260882,76
HOPV15,Progressive,46,3.3899999999999997,15,149,-6.81,71.258,1.8402946436280911,2.0935673054135897,0.10131578947368425,2.412271782299205,2.434582278368739,76
HOPV15,Progressive,47,3.999999999999999,15,149,-6.2,79.827,1.7526528257846743,2.0917220957258693,0.09473684210526317,2.550697322965309,2.7284101347538883,76
HOPV15,Progressive,49,0.0,15,149,-10.2,67.897,1.7003293525950234,2.065405348866723,0.11315789473684212,2.485289859189306,2.391099606378971,76
HOPV15,Progressive,48,4.02,15,149,-6.18,82.724,1.8033270404043824,2.0850213715444768,0.09815789473684212,2.4428102413771855,2.5108275514065808,76
HOPV15,Progressive,50,3.1999999999999993,15,149,-7.0,85.991,1.7302074370637484,2.093043657812991,0.1078947368421053,2.580353987909492,2.500245883553807,76
HOPV15,Progressive,51,3.1999999999999993,15,149,-7.0,79.594,1.7253459702366,2.0906779907987545,0.1131578947368421,2.5660911470785854,2.9092409894442577,76
