benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
COFs,DKL Multi-Fidelity,43,0.0,15,230,-18.53448594783226,2529.165,29.95,1.7343094536845947,11.827805876733741,0.2520661157024793,0.34365394711494446,2.078914395398985,363
COFs,DKL Multi-Fidelity,42,6.040486528414251,15,230,-12.493999419418008,2533.886,29.95,1.8193069897959904,15.549210356261865,0.2911845730027548,0.28556981682777405,1.5053185975177992,363
COFs,DKL Multi-Fidelity,44,3.542139991253217,15,230,-14.992345956579042,2590.491,29.95,1.6417264778706728,6.104114387860881,0.1559228650137741,0.42154234647750854,1.6570063567408828,363
COFs,DKL Multi-Fidelity,45,0.0,15,230,-18.53448594783226,2597.921,29.95,1.74896358016795,11.36994121315254,0.24297520661157018,0.3315064609050751,2.572937834016244,363
COFs,NARGP,49,3.287155915439582,15,230,-15.247330032392677,6199.274,29.95,2.103155948989439,3.1978477648497368,0.1099173553719008,0.9423108062772112,4.2108249934683375,363
COFs,NARGP,47,4.417357854172623,15,230,-14.117128093659636,6229.456,29.95,2.097858083092465,2.6564716850870527,0.08236914600550961,1.0275425974252301,2.9854243880606472,363
COFs,NARGP,50,2.768421691579954,15,230,-15.766064256252305,6819.376,29.95,1.8354511109787637,3.4116600900775045,0.09137741046831953,0.7615157632246848,4.708906374754726,363
COFs,NARGP,42,14.03570994208172,15,230,-4.498776005750538,7113.65,29.95,2.0097905016881987,4.228942590758329,0.045509641873278245,0.8246852671566024,2.5574809520640245,363
COFs,NARGP,51,10.846882109382225,15,230,-7.687603838450033,7165.021,29.95,2.2868071580458604,3.8848338127465327,0.0653168044077135,0.8689421449326322,2.324746853777577,363
COFs,NARGP,48,12.622180397922529,15,230,-5.91230554990973,7271.492,29.95,2.1532337375494803,2.4887352384606465,0.054269972451790605,1.1968244716780287,2.221888986545794,363
COFs,NARGP,46,2.768421691579954,15,230,-15.766064256252305,7289.121,29.95,2.020647401538316,3.605628033963329,0.11322314049586775,0.8127621117429699,5.3281593941727685,363
COFs,NARGP,43,1.6834527522225677,15,230,-16.85103319560969,7348.667,29.95,1.6641446513175333,4.701437466008293,0.05798898071625345,0.8000321230084209,3.1260800300830405,363
COFs,NARGP,44,13.975396845273291,15,230,-4.559089102558968,7661.729,29.95,2.215409331681345,3.120010874200589,0.0696143250688705,1.0888420539299233,2.0506873335065454,363
COFs,NARGP,45,2.768421691579954,15,230,-15.766064256252305,7806.354,29.95,2.011287004719317,3.5277413849601102,0.11983471074380163,0.8296021665790894,5.501253589183747,363
COFs,DKL Multi-Fidelity,46,2.768421691579954,15,230,-15.766064256252305,2721.523,29.95,1.7202168803055458,8.966033427390546,0.20027548209366391,0.41021913290023804,1.5410676876124134,363
COFs,DKL Multi-Fidelity,47,1.6834527522225677,15,230,-16.85103319560969,2725.318,29.95,1.9232188546811746,9.748728843671811,0.2330578512396694,0.38338857889175415,1.6196201142650826,363
COFs,DKL Multi-Fidelity,48,1.6834527522225677,15,230,-16.85103319560969,2830.996,29.95,1.8501304346119514,18.117574121188337,0.26887052341597795,0.28273025155067444,2.1601168059569194,363
COFs,DKL Multi-Fidelity,49,7.848507289350307,15,230,-10.685978658481952,2824.198,29.95,1.6872174013654746,7.96197413605742,0.18787878787878784,0.4073842465877533,1.281507827397714,363
COFs,DKL Multi-Fidelity,50,2.768421691579954,15,230,-15.766064256252305,2869.472,29.95,1.7232318113772043,19.720202217253902,0.31377410468319555,0.26378342509269714,1.807053762629148,363
COFs,DKL Multi-Fidelity,51,3.287155915439582,15,230,-15.247330032392677,2887.016,29.95,1.739039592999506,6.9375020431085215,0.2195592286501377,0.44423916935920715,1.5981326653798236,363
COFs,Sparse MFGP,42,1.6834527522225677,15,230,-16.85103319560969,4555.761,29.95,2.2349600301529637,2.2014255638408016,0.16217630853994494,1.4879180192947388,2.3586045129602473,363
COFs,Sparse MFGP,43,1.6834527522225677,15,230,-16.85103319560969,4539.124,29.95,1.7269536278323632,1.979896039509761,0.18614325068870524,1.4910234212875366,1.4036698561850778,363
COFs,Sparse MFGP,44,0.0,15,230,-18.53448594783226,4538.532,29.95,1.6637126864948755,1.9410364522704064,0.19743801652892562,1.5739210844039917,1.3347127887980694,363
